concept_id_1,concept_name_1,concept_id_2,concept_code_2,concept_name_2
37087581,"Gout arthropathy due to enzyme defects and other congenital diseases: hand [fingers, wrist, metacarpal, joints between these bones]",4035752,239847002,Gout secondary to enzyme defect
37088295,"Other idiopathic scoliosis, sacral and sacrococcygeal region",138841,12820001,Disorder of sacrum
37088295,"Other idiopathic scoliosis, sacral and sacrococcygeal region",4069935,203639008,Idiopathic scoliosis
37089810,"Fibromyalgia, hand",77635,118933004,Disorder of hand
37089810,"Fibromyalgia, hand",40405599,203082005,Fibromyalgia
37089999,"Idiopathic osteoporosis, upper arm",76191,128131002,Disorder of upper arm
37089999,"Idiopathic osteoporosis, upper arm",81390,3345002,Idiopathic osteoporosis
37090164,"Adult osteomalacia, unspecified, upper arm",76191,128131002,Disorder of upper arm
37090164,"Adult osteomalacia, unspecified, upper arm",432594,4598005,Osteomalacia
37090689,"Disorder of bone, unspecified, pelvic region and thigh",4219381,417470001,Finding of bone of pelvis
37090689,"Disorder of bone, unspecified, pelvic region and thigh",43531054,609620004,Disorder of pelvis
37090735,"Osteonecrosis in caisson disease, multiple sites",4069528,203485003,Osteonecrosis due to Caisson disease
37090735,"Osteonecrosis in caisson disease, multiple sites",45757800,431591000124102,Dysbaric osteonecrosis
37090758,"Osteonecrosis in other diseases classified elsewhere, multiple sites",4287786,397758007,Osteonecrosis
37090828,"Osteochondrosis dissecans: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]",437359,82562007,Osteochondritis dissecans
37091346,Disorders of prostate in diseases classified elsewhere,196734,30281009,Disorder of prostate
37091614,"Medical abortion, incomplete, complicated by embolism",37163809,1220630007,Incomplete induced termination of pregnancy complicated by embolism
37091617,"Medical abortion, complete or unspecified, complicated by genital tract and pelvic infection",43530910,609450004,Induced termination of pregnancy complicated by genital-pelvic infection
37200077,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",195771,8801005,Secondary diabetes mellitus
37200077,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",380096,59276001,Proliferative retinopathy due to diabetes mellitus
37200082,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",195771,8801005,Secondary diabetes mellitus
37200082,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",380097,312912001,Macular edema due to diabetes mellitus
37200082,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",4153217,370996005,Patient condition resolved
37200127,Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy,380096,59276001,Proliferative retinopathy due to diabetes mellitus
37200127,Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy,4202383,5368009,Drug-induced diabetes mellitus
37200139,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",380097,312912001,Macular edema due to diabetes mellitus
37200139,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",4202383,5368009,Drug-induced diabetes mellitus
37200223,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",43530685,1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus
37200223,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200967,"Mild to moderate pre-eclampsia, complicating childbirth",439393,398254007,Pre-eclampsia
37200967,"Mild to moderate pre-eclampsia, complicating childbirth",440795,199745000,Complication occurring during labor and delivery
37201112,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission",380834,371632003,Coma
37201411,"Fracture of other specified skull and facial bones, right side",4302223,418764009,Fracture of bone of head
37223342,Other specified limb deformities - Multiple sites (machine translation),133857,17230005,Acquired deformity of limb
37223503,"Other specific joint derangements, not elsewhere classified, forearm",78228,398993007,Joint derangement
37223683,"Juvenile idiopathic scoliosis, lumbosacral region",4067872,203646004,Adolescent idiopathic scoliosis
37223852,"Osteomyelitis of vertebra, lumbosacral region",195906,129139009,Disorder of lumbar spine
37223852,"Osteomyelitis of vertebra, lumbosacral region",4001298,203241002,Osteomyelitis of vertebra
37223903,"Anterior spinal and vertebral artery compression syndromes, multiple sites in spine",4032003,14363008,Anterior spinal artery compression syndrome
37224191,"Other dorsalgia, occipito-atlanto-axial region",4133638,279029001,Pain in cervical spine
37224781,"Enthesopathy, unspecified, upper arm",42537682,737214003,Enthesopathy of upper limb
37224790,"Rheumatism, unspecified, forearm",136779,128132009,Disorder of forearm
37224790,"Rheumatism, unspecified, forearm",138845,396332003,Rheumatism
37225260,"Osteitis condensans, hand",75920,55413008,Osteitis condensans
37225260,"Osteitis condensans, hand",77635,118933004,Disorder of hand
37225373,"Other chronic haematogenous osteomyelitis, ankle and foot",137077,268019002,Chronic osteomyelitis of ankle and/or foot
37225373,"Other chronic haematogenous osteomyelitis, ankle and foot",36714236,719376008,Chronic hematogenous osteomyelitis
37225618,"Osteonecrosis in other diseases classified elsewhere, multiple sites",4287786,397758007,Osteonecrosis
37225693,"Chondrolysis, forearm",136779,128132009,Disorder of forearm
37225693,"Chondrolysis, forearm",4345581,240139008,Chondrolysis of articular cartilage
37225820,"Recurrent and persistent haematuria, other",79864,53298000,Hematuria syndrome
37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",374888,191519005,Dementia associated with another disease
37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",762704,430771000124100,Moderate dementia
37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",4187507,47295007,Psychomotor agitation
37402457,"Unspecified dementia, severe, with anxiety",441542,48694002,Anxiety
37402457,"Unspecified dementia, severe, with anxiety",765653,428351000124105,Severe dementia
37402457,"Unspecified dementia, severe, with anxiety",43530666,1591000119103,Dementia with behavioral disturbance
37402466,"Cocaine use, unspecified, in remission",35622958,765205004,Disorder in remission
37402466,"Cocaine use, unspecified, in remission",37162280,1187219008,Disorder caused by psychoactive substance
37402467,"Other stimulant use, unspecified, in remission",37164332,1230082002,Nondependent psychostimulant abuse in remission
37402468,"Hallucinogen use, unspecified, in remission",35622958,765205004,Disorder in remission
37402468,"Hallucinogen use, unspecified, in remission",37162280,1187219008,Disorder caused by psychoactive substance
37402469,"Inhalant use, unspecified, in remission",35622958,765205004,Disorder in remission
37402469,"Inhalant use, unspecified, in remission",37162280,1187219008,Disorder caused by psychoactive substance
37604869,"Acute onset vascular dementia with other, mainly hallucinatory symptoms, severe",433031,7011001,Hallucinations
37604869,"Acute onset vascular dementia with other, mainly hallucinatory symptoms, severe",4046089,230285003,Vascular dementia of acute onset
37605180,"Dementia in Creutzfeldt-Jakob disease, with other symptoms, predominantly hallucinatory, mild",433031,7011001,Hallucinations
37605180,"Dementia in Creutzfeldt-Jakob disease, with other symptoms, predominantly hallucinatory, mild",4180284,429458009,Dementia due to Creutzfeldt Jakob disease
37607004,Endocarditis and heart valve disorders in diseases classified elsewhere,4281749,368009,Heart valve disorder
37607287,Alveolar and parietoalveolar conditions,4252581,7436001,Alveolar pneumopathy
37613827,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",4063155,199297006,"Disease of nervous system complicating pregnancy, childbirth and puerperium"
37614022,Supervision of normal first pregnancy,4061424,169573007,Antenatal care: primigravida
42483858,"Zoonotic bacterial disease, unspecified",432545,87628006,Bacterial infectious disease
42486701,"Persistent mood[affective] disorder, unspe- cified",444100,46206005,Mood disorder
42489033,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified, mild",257004,195951007,Acute exacerbation of chronic obstructive pulmonary disease
42489033,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified, mild",4196712,313296004,Mild chronic obstructive pulmonary disease
42489523,Acute erosion of stomach with haemorrhage,4143871,307233002,Acute erosion of stomach with haemorrhage
42489523,Acute erosion of stomach with haemorrhage,4143871,307233002,Erosion of stomach with hemorrhage
42489837,Disorders of peritoneum in infectious diseases classified elsewhere,432250,40733004,Infectious disease
42489837,Disorders of peritoneum in infectious diseases classified elsewhere,443796,129129003,Infectious peritonitis
42490240,Papulosquamous disorders in diseases classified elsewhere,4330878,22585003,Papulosquamous dermatosis
42490575,"Arthritis in other bacterial diseases classified elsewhere, forearm",136779,128132009,Disorder of forearm
42490575,"Arthritis in other bacterial diseases classified elsewhere, forearm",4167984,48245008,Bacterial arthritis
42490600,"Arthritis in other viral diseases classified elsewhere, lower leg",4094283,250131003,Lower limb joint arthritis
42490600,"Arthritis in other viral diseases classified elsewhere, lower leg",4343916,239780003,Viral arthritis
42490762,Rheumatoid arthritis with involvement of other organs and systems,80809,69896004,Rheumatoid arthritis
42491304,"Other chondrocalcinosis, lower leg",72986,128137003,Disorder of lower leg
42491304,"Other chondrocalcinosis, lower leg",437064,239838005,Chondrocalcinosis
42491566,"Varus deformity, NEC, multiple sites",37110367,724596002,Acquired varus deformity of limb
42492193,"Other recurrent vertebral subluxation, occipito-atlanto-axial region",4134176,263040004,Subluxation of joint of cervical spine
42492193,"Other recurrent vertebral subluxation, occipito-atlanto-axial region",4346965,239748000,Recurrent subluxation of joint
42492510,"Spondylopathy in other infectious and parasitic diseases classified elsewhere, lumbosacral region",432250,40733004,Infectious disease
42492510,"Spondylopathy in other infectious and parasitic diseases classified elsewhere, lumbosacral region",37207722,130731000119100,Disorder of joint of lumbosacral vertebra
42493253,"Necrotising fasciitis, hand",77635,118933004,Disorder of hand
42493253,"Necrotising fasciitis, hand",133566,52486002,Necrotizing fasciitis
42494070,"Idiopathic aseptic necrosis of bone, forearm",4326828,430889003,Osteonecrosis of bone of upper limb
42494070,"Idiopathic aseptic necrosis of bone, forearm",37164468,1231179003,Idiopathic avascular necrosis of bone
42494188,"Other disorders of bone development and growth, ankle and foot",4160354,371521007,Disorder of bone development
42494188,"Other disorders of bone development and growth, ankle and foot",44782620,700012005,Disorder of free lower limb
42495121,"Incomplete other abortion, with other and unspecified complications (conditions in O08.3-O08.)",434413,413338003,Incomplete miscarriage with complication
42496152,"Congenital absence, atresia and stricture of auditory canal(external)",4185093,43557002,Congenital stricture of external auditory canal
42496887,"Localized swelling, mass and lump of skin and subcutaneous tissue",4102120,300886007,Swelling of skin
42498185,Open wound of vagina and vulva,4133009,127277000,Injury of female genital system
42498185,Open wound of vagina and vulva,4239520,69293004,Open wound of external genital organs
42503460,"Contact with venomous marine animals and plants, unspecified place",4155221,269705003,Exposure to poison of venomous animals and plants
42505118,"Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",434547,88797001,Complication of surgical procedure
42505118,"Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",4123283,302918009,Disorder of stoma
42505980,"Hereditary disturbances in tooth structure, unspecified",606884,1148766007,Hereditary disorder of tooth
42616346,"Pyogenic arthritis, unspecified, Upper arm",76191,128131002,Disorder of upper arm
42616346,"Pyogenic arthritis, unspecified, Upper arm",80482,372939007,Suppurative arthritis
42617412,"Other forms of scoliosis, occipito-atlanto-axial region",4179319,298392006,Scoliosis of cervical spine
42617855,"Sacrococcygeal disorders, not elsewhere classified, sacral and sacrococcygeal region",138841,12820001,Disorder of sacrum
42617884,"Panniculitis affecting regions of neck and back, sacral and sacrococcygeal region",4273693,63885004,Panniculitis affecting sacrum
42618386,"Syphilitic bursitis, pelvic region and thigh",4001478,202933002,Syphilitic bursitis
42618386,"Syphilitic bursitis, pelvic region and thigh",4216972,81498004,Bursitis of hip
42618963,"Subacute osteomyelitis, ankle and foot",133853,28769004,Osteomyelitis of ankle AND/OR foot
42618963,"Subacute osteomyelitis, ankle and foot",4284844,67322009,Subacute osteomyelitis
42619027,"Idiopathic aseptic necrosis of bone, forearm",4326828,430889003,Osteonecrosis of bone of upper limb
42619027,"Idiopathic aseptic necrosis of bone, forearm",37164468,1231179003,Idiopathic avascular necrosis of bone
42619363,"Juvenile idiopathic scoliosis, multiple sites in spine",4067872,203646004,Adolescent idiopathic scoliosis
44819790,"Duodenitis, without mention of hemorrhage",433516,72007001,Duodenitis
44821095,Exfoliation due to erythematous condition involving 10-19 percent of body surface,135029,271767006,Peeling of skin
44821095,Exfoliation due to erythematous condition involving 10-19 percent of body surface,40481101,444827008,Erythema of skin
44827989,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",444094,118185001,Finding related to pregnancy
44827989,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",4041280,118213005,Postpartum finding
44829563,"Poisoning by other gases, undetermined whether accidentally or purposely inflicted",608027,1156755000,Poisoning caused by gaseous substance
44829563,"Poisoning by other gases, undetermined whether accidentally or purposely inflicted",40493247,445931006,Poisoning by fumes
44829752,Hepatitis E with hepatic coma,197490,235867002,Acute hepatitis E
44829752,Hepatitis E with hepatic coma,377604,72836002,Hepatic coma
44830208,Kidney failure following abortion and ectopic and molar pregnancies,192359,42399005,Renal failure syndrome
44830208,Kidney failure following abortion and ectopic and molar pregnancies,435875,198609003,"Complication of pregnancy, childbirth and/or puerperium"
44830208,Kidney failure following abortion and ectopic and molar pregnancies,444094,118185001,Finding related to pregnancy
44830798,Other urinary problems,75865,128606002,Disorder of the urinary system
44830798,Other urinary problems,4024000,106098005,Urinary system finding
44831576,Late anemia of fetus or newborn due to isoimmunization,4071073,206434001,Late anemia of newborn due to isoimmunization
44833445,"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus",372886,423683008,Refractory migraine with aura
44833445,"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus",377844,230467008,Status migrainosus
44833445,"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus",443454,432504007,Cerebral infarction
44833743,"Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition",433260,289256000,Mother delivered
44833743,"Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition",442781,63339007,Disorder of uterine cervix
44834899,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",432373,199307003,Continuing pregnancy after intrauterine death of one or more fetuses
44835126,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness",381135,32834005,Brief loss of consciousness
44835126,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness",4264281,397181002,Open fracture
44835126,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness",4302223,418764009,Fracture of bone of head
45431148,"[X]Fall on and from scaffolding, occurrence at unspecified place",432804,2617007,Fall from scaffold
45516780,Low vision,373786,7973008,Abnormal vision
45518269,Child lives with father,4072595,224140008,Lives with father
45534326,"Diseases of the respiratory system complicating pregnancy, second trimester",4060429,199293005,"Disease of the respiratory system complicating pregnancy, childbirth and/or the puerperium"
45534326,"Diseases of the respiratory system complicating pregnancy, second trimester",4244438,59466002,Second trimester pregnancy
45537526,"War operations involving rubber bullets, military personnel, initial encounter",434834,219372000,War injury due to rubber bullets
45539133,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 1",433826,199306007,Continuing pregnancy after abortion of one fetus or more
45539133,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 1",4244438,59466002,Second trimester pregnancy
45542656,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb",4225982,421418009,Mature T-cell AND/OR NK cell neoplasm
45542656,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb",37165866,1255907004,Malignant lymphoma of lymph nodes of lower limb
45543919,"Infections of bladder in pregnancy, third trimester",4146482,307534009,Urinary tract infection in pregnancy
45543919,"Infections of bladder in pregnancy, third trimester",4218813,41587001,Third trimester pregnancy
45547895,"Glaucoma secondary to other eye disorders, left eye",436398,66747002,Glaucoma associated with ocular disorder
45548255,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,319825,23685000,Rheumatic heart disease
45548255,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,4116150,201775006,Rheumatoid arthritis of hip
45548837,Other embolism in childbirth,440795,199745000,Complication occurring during labor and delivery
45548837,Other embolism in childbirth,4185607,414086009,Embolism
45552460,"Other psychoactive substance abuse with intoxication, unspecified",607217,1149353004,Psychoactive substance-induced intoxication
45557771,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",1076080,1335788008,Juvenile idiopathic arthritis of elbow
45557973,"Other infective bursitis, left wrist",4184657,43800000,Bursitis of wrist
45558103,"Major osseous defect, left lower leg",72986,128137003,Disorder of lower leg
45558103,"Major osseous defect, left lower leg",78308,203522001,Osteolysis
45558312,"Other placental disorders, third trimester",4053583,125586008,Disorder of placenta
45558312,"Other placental disorders, third trimester",4129027,237253003,Third trimester pregnancy
45563138,"Oligohydramnios, second trimester, other fetus",434111,59566000,Oligohydramnios
45563138,"Oligohydramnios, second trimester, other fetus",4244438,59466002,Second trimester pregnancy
45566726,Drug or chemical induced diabetes mellitus with other circulatory complications,321822,421895002,Peripheral vascular disorder due to diabetes mellitus
45566726,Drug or chemical induced diabetes mellitus with other circulatory complications,4202383,5368009,Drug-induced diabetes mellitus
45567215,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,443593,428194005,Ulcer of thigh
45567215,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,40484541,442693003,Atherosclerosis of autologous vein bypass graft of limb
45567408,Rheumatoid vasculitis with rheumatoid arthritis of left knee,4116151,201777003,Rheumatoid arthritis of knee
45567408,Rheumatoid vasculitis with rheumatoid arthritis of left knee,4271003,400054000,Rheumatoid vasculitis
45567717,"Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with delayed healing",760661,11312881000119107,Pathological fracture of right radius due to neoplasm
45571402,Acquired absence of bilateral breasts and nipples,36716836,723025005,Bilateral acquired absence of breast
45572532,"Abscess of bursa, right ankle and foot",4049120,122862008,Abscess of bursa
45572831,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5",74104,106009009,Fetal condition affecting obstetrical care of mother
45572831,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5",4129027,237253003,Third trimester pregnancy
45572831,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5",4129027,237253003,Viable fetus in abdominal pregnancy
45577400,"Pathological fracture, right femur, subsequent encounter for fracture with delayed healing",443460,409667007,Pathological fracture of femur
45577400,"Pathological fracture, right femur, subsequent encounter for fracture with delayed healing",40305987,134194006,Delayed union of fracture
45577672,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",4244438,59466002,Second trimester pregnancy
45577672,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",43530950,609496007,Complication occurring during pregnancy
45581363,Asymptomatic premature menopause,198715,373717006,Premature menopause
45582279,"Pathological fracture, left shoulder, subsequent encounter for fracture with nonunion",73574,302941001,Nonunion of fracture
