source_data_identifier,source_code,original_source_term,source_term,target_concept_id,target_concept_name,target_concept_id_b,target_concept_name_b,predicate,predicate_b
2,338372,POLS        - TENOL. BIJ TENDOVAGIN.STENOSANS POLSSPIER,Wrist - tenol. in tendovaginitis stenosans wrist muscle,2104161,"Tenolysis, flexor or extensor tendon, forearm and/or wrist, single, each tendon",4196231,Lysis of adhesions of tendon,broadMatch,broadMatch
2,338372,POLS        - TENOL. BIJ TENDOVAGIN.STENOSANS POLSSPIER,Wrist - tenol. in tendovaginitis stenosans wrist muscle,2104161,"Tenolysis, flexor or extensor tendon, forearm and/or wrist, single, each tendon",4081901,Operative procedure on wrist,broadMatch,broadMatch
2,338926,HUID        - EXCISIE CARCINOOM,Skin - excision carcinoma,4201230,Excision of malignant skin tumor,,,exactMatch,
2,339161,BLAAS       - CYSTOSCOPIE,Bladder - cystoscopy,4305063,Transurethral cystoscopy,,,exactMatch,
2,339250,KNIE        - ARTROSCOPIE,Knee - arthroscopy,4205229,Arthroscopy of knee,,,exactMatch,
2,381002,RADIOL.OND. SCHEDEL                       2 R,Radiol. exam skull 2 views,4184771,X-ray of skull,,,broadMatch,
2,381041,CT SCHEDEL                                Z C,CT skull w/o contrast,4058334,CT of skull,,,exactMatch,
2,381042,CT SCHEDEL                                M C,CT skull with contrast,46272801,CT of head with contrast,,,exactMatch,
2,381070,ECHO SCHEDEL,Ultrasound skull,4059698,US skull scan,,,exactMatch,
3,AM561,Telemedizinische psychotherapeutische Einzeltherapie (LE=je Sitzung),Telemedical individual psychotherapy (per session),4088889,Individual psychotherapy,,,broadMatch,
3,BE010,Glaukomoperation (LE=je Seite),Glaucoma surgery (per side),4313281,Operation for glaucoma,,,exactMatch,
3,BE520,"Lasertherapie an Iris, Ziliarkörper, Skleren, Vorderkammer (LE=je Sitzung)","Laser therapy on iris, ciliary body, sclera, anterior chamber (per session)",2000505,"Operations on iris, ciliary body, sclera, and anterior chamber",,,broadMatch,
3,BE520,"Lasertherapie an Iris, Ziliarkörper, Skleren, Vorderkammer (LE=je Sitzung)","Laser therapy on iris, ciliary body, sclera, anterior chamber (per session)",4232642,Photocoagulation of eye,,,broadMatch,
3,BH010,Bulbusnaht (LE=je Seite),Globe suture (per side),4068554,Suture of sclera,,,exactMatch,
3,BK039,Sonstige Operation – Orbita (LE=je Seite),Other surgery - orbital cavity (per side),4333146,Surgical procedure on orbit,,,exactMatch,
3,CB060,Radikale Resektion des Schläfenbeines (LE=je Seite),Radical resection of the temporal bone (per side),4066059,Total petrosectomy,,,exactMatch,
3,CB522,Dilatation der Eustachischen Röhre (Ballontuboplastie) (LE=je Sitzung),Dilatation of the Eustachian tube (balloon tuboplasty) (per session),608678,Balloon dilation of eustachian tube,,,exactMatch,
3,CC040,Verschluss einer perilymphatischen Fistel (LE=je Seite),Closure of a perilymphatic fistula (per side),4083781,Closure of fistula of middle ear,,,broadMatch,
3,DE020,Anlage eines temporären intrakardialen Schrittmachers (LE=je Sitzung),Placement of a temporary intracardiac pacemaker (per session),4085558,Insertion of temporary cardiac pacemaker,,,exactMatch,
3,DE070,Implantation eines kardialen Monitors (LE=je Sitzung),Implantation of a cardiac monitor (per session),927086,"Insertion, subcutaneous cardiac rhythm monitor, including programming",4047082,Implantation of insertable loop recorder,exactMatch,exactMatch
3,DE130,Wechsel kardialer Schrittmachersonden (LE=je Sitzung),Replacement of cardiac pacemaker leads (per session),40479859,Replacement of cardiac pacemaker,,,broadMatch,
3,DE150,"Aggregatwechsel bei einem Herzschrittmacher, Zweikammersystem (LE=je Sitzung)","Replacement of pacemaker generator, dual-chamber system (per session)",40481494,Replacement of dual chamber pulse generator,42742524,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system,exactMatch,exactMatch
3,DE151,"Aggregatwechsel bei einem Herzschrittmacher, Zweikammersystem, MR-tauglich (LE=je Sitzung)","Replacement of pacemaker generator, dual-chamber system, MRI compatible (per session)",40481494,Replacement of dual chamber pulse generator,42742524,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system,broadMatch,broadMatch
3,DG042,Implantation eines gefensterten Stentgrafts – Aorta abdominal para-/suprarenal (LE=je Sitzung),Implantation of a fenestrated stent graft - abdominal aorta para-/suprarenal (per session),42538260,Endovascular insertion of fenestrated stent graft,,,broadMatch,
3,DZ099,Sonstige Operation – Herz und herznahe Aorta (LE=je Sitzung),Other surgery - heart and near-heart aorta (per session),4275564,Operation on heart,,,broadMatch,
3,ED008,Katheterangiographie – Spinalgefäße (LE=je Sitzung),Catheter angiography - spinal vessels (per session),4192388,Selective angiography of blood vessel of spine,,,exactMatch,
4,16,Mastectomy - unknown if lymph nodes are removed,Mastectomy - unknown if lymph nodes are removed,37164749,Excision of breast,,,exactMatch,
4,17,Breast-conserving surgery without removal of lymph nodes,Breast-conserving surgery without removal of lymph nodes,4275911,Partial mastectomy,,,exactMatch,
4,21,Therapeutic intervention directed at metastasis,Therapeutic intervention directed at metastasis,36769180,Metastasis,,,broadMatch,
4,25,Mastectomy with removal of sentinel lymph node,Mastectomy with removal of sentinel lymph node,40491336,Simple mastectomy with axillary lymph node sampling,,,exactMatch,
4,28,Breast-conserving surgery with removal of sentinel lymph node,Breast-conserving surgery with removal of sentinel lymph node,4261671,Partial mastectomy with axillary lymphadenectomy,,,exactMatch,
4,35,Re-excision,Re-excision,4280798,Reexcision,,,exactMatch,
4,40,Palliative procedure,Palliative procedure,37016858,Palliative debulking of neoplasm for symptom relief,4176643,Palliative procedure,exactMatch,exactMatch
4,43,Prostate cancer primarily treated with hormonal treatment and then recessed transvesically,Prostate cancer primarily treated with hormonal treatment and then recessed transvesically,4263480,Suprapubic prostatectomy,,,broadMatch,
4,43,Prostate cancer primarily treated with hormonal treatment and then recessed transvesically,Prostate cancer primarily treated with hormonal treatment and then recessed transvesically,45768763,Androgen deprivation therapy,,,broadMatch,
4,50,Transurethral resection of prostate,Transurethral resection of prostate,4234536,Transurethral prostatectomy,,,exactMatch,
4,V_MFR.INDUKSJON_AMNIOTOMI,Induction of labor: Amniotomy,Induction of labor: Amniotomy,4248955,Induction of labor by artificial rupture of membranes,,,exactMatch,
4,V_MFR.INDUKSJON_OXYTOCIN,Induction of labor: Oxytocin,Induction of labor: Oxytocin,4075178,Oxytocin induction of labor,,,exactMatch,
4,PJA23K,"Punksjonscytologi fra lymfeknute i aksille, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of an axillary lymph node,4125470,Fine needle aspiration of axillary lymph node,,,broadMatch,
4,PJA23K,"Punksjonscytologi fra lymfeknute i aksille, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of an axillary lymph node,40481561,Ultrasonography guided fine needle aspiration biopsy,,,broadMatch,
4,PJA33K,"Punksjonscytologi fra lymfeknute i toraks, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of a thoracic lymph node,4120966,Fine needle aspiration of lymph node,,,broadMatch,
4,PJA33K,"Punksjonscytologi fra lymfeknute i toraks, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of a thoracic lymph node,40481561,Ultrasonography guided fine needle aspiration biopsy,,,broadMatch,
4,PJA53K,"Punksjonscytologi fra lymfeknute i bekkenet, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of a pelvic lymph node,4120434,Fine needle aspiration of pelvic lymph node,,,broadMatch,
4,PJA53K,"Punksjonscytologi fra lymfeknute i bekkenet, ultralydveiledet",Ultrasound-guided fine-needle aspiration cytology of a pelvic lymph node,40481561,Ultrasonography guided fine needle aspiration biopsy,,,broadMatch,
3,XC512,EVAIA (Tag 1-3),EVAIA (Day 1-3),1311443,dactinomycin,35805446,EVAIA,broadMatch,broadMatch
3,XC512,EVAIA (Tag 1-3),EVAIA (Day 1-3),1338512,doxorubicin,35805446,EVAIA,broadMatch,broadMatch
3,XC512,EVAIA (Tag 1-3),EVAIA (Day 1-3),1350504,etoposide,35805446,EVAIA,broadMatch,broadMatch
3,XC512,EVAIA (Tag 1-3),EVAIA (Day 1-3),19078187,ifosfamide,35805446,EVAIA,broadMatch,broadMatch
3,XC512,EVAIA (Tag 1-3),EVAIA (Day 1-3),1308290,vincristine,35805446,EVAIA,broadMatch,broadMatch
