concept_id_1,concept_name_1,concept_id_2,concept_code_2,concept_name_2,attribute_category
23653,Foreign body in esophagus,4078373,19227008,Foreign body,Has asso morph
23653,Foreign body in esophagus,4140098,32849002,Esophageal structure,Has finding site
23731,Benign neoplasm of larynx,4262229,4596009,Laryngeal structure,Has finding site
23731,Benign neoplasm of larynx,4305589,3898006,"Neoplasm, benign",Has asso morph
23798,Acute laryngopharyngitis,4163835,4532008,Acute inflammation,Has asso morph
23798,Acute laryngopharyngitis,4207370,54066008,Pharyngeal structure,Has finding site
23798,Acute laryngopharyngitis,4262229,4596009,Laryngeal structure,Has finding site
23798,Acute laryngopharyngitis,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
23806,Atrophy of salivary gland,4028206,13331008,Atrophy,Has asso morph
23806,Atrophy of salivary gland,4294042,385294005,Salivary gland structure,Has finding site
23808,"Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction",4233476,405719001,Chronic ulcer,Has asso morph
23808,"Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction",4236661,90734009,Chronic,Has clinical course
23808,"Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction",4271189,62834003,Upper gastrointestinal tract structure,Has finding site
23865,Congenital anomaly of pharynx,4116830,255399007,Congenital,Has occurrence
23865,Congenital anomaly of pharynx,4175951,49755003,Morphologically abnormal structure,Has asso morph
23865,Congenital anomaly of pharynx,4204670,308490002,Pathological developmental process,Has pathology
23865,Congenital anomaly of pharynx,4207370,54066008,Pharyngeal structure,Has finding site
23868,Congenital anomaly of esophagus,4116830,255399007,Congenital,Has occurrence
23868,Congenital anomaly of esophagus,4140098,32849002,Esophageal structure,Has finding site
23868,Congenital anomaly of esophagus,4175951,49755003,Morphologically abnormal structure,Has asso morph
23868,Congenital anomaly of esophagus,4204670,308490002,Pathological developmental process,Has pathology
23986,Disorder of pituitary gland,4209428,56329008,Pituitary structure,Has finding site
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4093906,26036001,Obstruction,Has asso morph
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4236661,90734009,Chronic,Has clinical course
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4243483,37904008,Chronic bleeding ulcer,Has asso morph
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
24134,Neck pain,4260843,45048000,Neck structure,Has finding site
24148,Congenital diverticulum of pharynx,4116830,255399007,Congenital,Has occurrence
24148,Congenital diverticulum of pharynx,4204670,308490002,Pathological developmental process,Has pathology
24148,Congenital diverticulum of pharynx,4207370,54066008,Pharyngeal structure,Has finding site
24148,Congenital diverticulum of pharynx,4218881,82037003,Congenital diverticulum,Has asso morph
24198,Contusion of esophagus,4140098,32849002,Esophageal structure,Has finding site
24198,Contusion of esophagus,4203279,308492005,Contusion - lesion,Has asso morph
24198,Contusion of esophagus,36674407,773760007,Traumatic event,Has due to
24230,Foreign body in larynx,4078373,19227008,Foreign body,Has asso morph
24230,Foreign body in larynx,4262229,4596009,Laryngeal structure,Has finding site
24296,Primary malignant neoplasm of pituitary gland,4209428,56329008,Pituitary structure,Has finding site
24296,Primary malignant neoplasm of pituitary gland,37153816,1240414004,Malignant neoplasm,Has asso morph
24296,Primary malignant neoplasm of pituitary gland,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",4093906,26036001,Obstruction,Has asso morph
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",4236661,90734009,Chronic,Has clinical course
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",4239211,91182001,Perforated ulcer,Has asso morph
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",4243483,37904008,Chronic bleeding ulcer,Has asso morph
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",4271189,62834003,Upper gastrointestinal tract structure,Has finding site
24602,Benign neoplasm of esophagus,4140098,32849002,Esophageal structure,Has finding site
24602,Benign neoplasm of esophagus,4305589,3898006,"Neoplasm, benign",Has asso morph
24660,Acute tonsillitis,4163835,4532008,Acute inflammation,Has asso morph
24660,Acute tonsillitis,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
24660,Acute tonsillitis,4327174,75573002,Palatine tonsillar structure,Has finding site
24818,Injury of neck,4260843,45048000,Neck structure,Has finding site
24884,Benign neoplasm of carotid body,4197418,51345006,Carotid body structure,Has finding site
24884,Benign neoplasm of carotid body,4305589,3898006,"Neoplasm, benign",Has asso morph
24897,Carcinoma in situ of larynx,4262229,4596009,Laryngeal structure,Has finding site
24897,Carcinoma in situ of larynx,37156895,1187138006,Carcinoma in situ,Has asso morph
24966,Esophageal varices,4029830,12856003,Varix,Has asso morph
24966,Esophageal varices,4237655,90895003,Structure of esophageal vein,Has finding site
24969,Laryngitis,4253008,409774005,Inflammatory morphology,Has asso morph
24969,Laryngitis,4262229,4596009,Laryngeal structure,Has finding site
24970,Chronic laryngitis,4236661,90734009,Chronic,Has clinical course
24970,Chronic laryngitis,4253009,409777003,Chronic inflammatory morphology,Has asso morph
24970,Chronic laryngitis,4262229,4596009,Laryngeal structure,Has finding site
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4093906,26036001,Obstruction,Has asso morph
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4233476,405719001,Chronic ulcer,Has asso morph
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4236661,90734009,Chronic,Has clinical course
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,37304196,787915005,Structure of lumen of upper gastrointestinal tract,Has finding site
24974,Stenosis of larynx,4217691,415582006,Stenosis,Has asso morph
24974,Stenosis of larynx,4262229,4596009,Laryngeal structure,Has finding site
24977,Mucocele of salivary gland,4055737,19633006,Mucous cyst,Has asso morph
24977,Mucocele of salivary gland,4294042,385294005,Salivary gland structure,Has finding site
24978,Chronic adenotonsillitis,4184153,55940004,Adenoidal structure,Has finding site
24978,Chronic adenotonsillitis,4236661,90734009,Chronic,Has clinical course
24978,Chronic adenotonsillitis,4253009,409777003,Chronic inflammatory morphology,Has asso morph
24978,Chronic adenotonsillitis,4327174,75573002,Palatine tonsillar structure,Has finding site
25056,Congenital anomaly of neck,4116830,255399007,Congenital,Has occurrence
25056,Congenital anomaly of neck,4175951,49755003,Morphologically abnormal structure,Has asso morph
25056,Congenital anomaly of neck,4204670,308490002,Pathological developmental process,Has pathology
25056,Congenital anomaly of neck,4260843,45048000,Neck structure,Has finding site
25068,Branchial cleft sinus and fistula,4116830,255399007,Congenital,Has occurrence
25068,Branchial cleft sinus and fistula,4204670,308490002,Pathological developmental process,Has pathology
25068,Branchial cleft sinus and fistula,4300167,774007,Structure of head and/or neck,Has finding site
25068,Branchial cleft sinus and fistula,37206156,785763000,Branchial fistula,Has asso morph
25068,Branchial cleft sinus and fistula,37206157,785764006,Branchial sinus,Has asso morph
25189,Malignant tumor of oral cavity,37153816,1240414004,Malignant neoplasm,Has asso morph
25189,Malignant tumor of oral cavity,44782621,700016008,Structure of internal part of mouth,Has finding site
25211,Iatrogenic pituitary disorder,4209428,56329008,Pituitary structure,Has finding site
25297,Acute pharyngitis,4163835,4532008,Acute inflammation,Has asso morph
25297,Acute pharyngitis,4207370,54066008,Pharyngeal structure,Has finding site
25297,Acute pharyngitis,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
25486,Primary malignant neoplasm of islets of Langerhans,4301372,78696007,Endocrine pancreatic structure,Has finding site
25486,Primary malignant neoplasm of islets of Langerhans,37153816,1240414004,Malignant neoplasm,Has asso morph
25486,Primary malignant neoplasm of islets of Langerhans,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
25572,Disorder of salivary gland,4294042,385294005,Salivary gland structure,Has finding site
25582,Tracheoesophageal fistula,4053885,12582004,Internal fistula,Has asso morph
25582,Tracheoesophageal fistula,4140098,32849002,Esophageal structure,Has finding site
25582,Tracheoesophageal fistula,4195956,44567001,Tracheal structure,Has finding site
25698,Complication of transplanted pancreas,4266668,62438007,Transplantation of pancreas,Occurs after
25698,Complication of transplanted pancreas,36717084,719423002,Structure of transplanted pancreas,Has finding site
25748,Overlapping malignant neoplasm of esophagus,4140098,32849002,Esophageal structure,Has finding site
25748,Overlapping malignant neoplasm of esophagus,37153816,1240414004,Malignant neoplasm,Has asso morph
25757,Primary malignant neoplasm of aortic body,4327482,75061007,Aortic body,Has finding site
25757,Primary malignant neoplasm of aortic body,37153816,1240414004,Malignant neoplasm,Has asso morph
25757,Primary malignant neoplasm of aortic body,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
25780,Pituitary dwarfism,4154781,271603002,Height / growth measure,Has interprets
25780,Pituitary dwarfism,4200975,52618001,Structure of distal part of pituitary,Has finding site
25780,Pituitary dwarfism,4204670,308490002,Pathological developmental process,Has pathology
25780,Pituitary dwarfism,4266035,397827003,Growth hormone deficiency,Has due to
25844,Ulcer of esophagus,4140098,32849002,Esophageal structure,Has finding site
25844,Ulcer of esophagus,4206914,56208002,Ulcer,Has asso morph
26052,Primary malignant neoplasm of larynx,4262229,4596009,Laryngeal structure,Has finding site
26052,Primary malignant neoplasm of larynx,37153816,1240414004,Malignant neoplasm,Has asso morph
26052,Primary malignant neoplasm of larynx,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
26060,Benign neoplasm of tonsil,4305589,3898006,"Neoplasm, benign",Has asso morph
26060,Benign neoplasm of tonsil,4327174,75573002,Palatine tonsillar structure,Has finding site
26069,Postablative testicular hypofunction,4053347,1250004,Decreased,Has interpretation
26069,Postablative testicular hypofunction,4122979,304042006,Testicular endocrine structure,Has finding site
26069,Postablative testicular hypofunction,4146194,35188005,Hormone production,Has interprets
26069,Postablative testicular hypofunction,4190939,373845008,Testicular ablation,Occurs after
26141,Barrett's esophagus with esophagitis,4140098,32849002,Esophageal structure,Has finding site
26141,Barrett's esophagus with esophagitis,4218887,82082004,Esophageal mucous membrane structure,Has finding site
26141,Barrett's esophagus with esophagitis,4239525,69310004,Intestinal metaplasia,Has asso morph
26141,Barrett's esophagus with esophagitis,4253008,409774005,Inflammatory morphology,Has asso morph
26141,Barrett's esophagus with esophagitis,4281852,67173009,Structure of lower third of esophagus,Has finding site
26213,Congenital salivary gland fistula,4043006,118622000,Fistula,Has asso morph
26213,Congenital salivary gland fistula,4116830,255399007,Congenital,Has occurrence
26213,Congenital salivary gland fistula,4204670,308490002,Pathological developmental process,Has pathology
26213,Congenital salivary gland fistula,4294042,385294005,Salivary gland structure,Has finding site
26286,Burn of neck,4168004,48333001,Burn injury,Has asso morph
26286,Burn of neck,4260843,45048000,Neck structure,Has finding site
26286,Burn of neck,36674407,773760007,Traumatic event,Has due to
26361,Primary malignant neoplasm of pineal gland,4164136,45793000,Pineal structure,Has finding site
26361,Primary malignant neoplasm of pineal gland,37153816,1240414004,Malignant neoplasm,Has asso morph
26361,Primary malignant neoplasm of pineal gland,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
26378,Hyperpituitarism,4146067,35105006,Increased,Has interpretation
26378,Hyperpituitarism,4146194,35188005,Hormone production,Has interprets
26378,Hyperpituitarism,4270353,62818001,Adenohypophysis structure,Has finding site
26441,Bleeding ulcer of esophagus,4140098,32849002,Esophageal structure,Has finding site
26441,Bleeding ulcer of esophagus,4208270,55075001,Bleeding ulcer,Has asso morph
26459,Acute esophagitis,4140098,32849002,Esophageal structure,Has finding site
26459,Acute esophagitis,4163835,4532008,Acute inflammation,Has asso morph
26638,Primary malignant neoplasm of esophagus,4140098,32849002,Esophageal structure,Has finding site
26638,Primary malignant neoplasm of esophagus,37153816,1240414004,Malignant neoplasm,Has asso morph
26638,Primary malignant neoplasm of esophagus,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
26662,Testicular hypofunction,4053347,1250004,Decreased,Has interpretation
26662,Testicular hypofunction,4122979,304042006,Testicular endocrine structure,Has finding site
26662,Testicular hypofunction,4146194,35188005,Hormone production,Has interprets
26711,Chronic pharyngitis,4207370,54066008,Pharyngeal structure,Has finding site
26711,Chronic pharyngitis,4236661,90734009,Chronic,Has clinical course
26711,Chronic pharyngitis,4253009,409777003,Chronic inflammatory morphology,Has asso morph
26718,Acute peptic ulcer with perforation AND obstruction,4093906,26036001,Obstruction,Has asso morph
26718,Acute peptic ulcer with perforation AND obstruction,4096339,26317001,Acute ulcer,Has asso morph
26718,Acute peptic ulcer with perforation AND obstruction,4239211,91182001,Perforated ulcer,Has asso morph
26718,Acute peptic ulcer with perforation AND obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
26718,Acute peptic ulcer with perforation AND obstruction,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
26719,Chronic laryngotracheitis,4195956,44567001,Tracheal structure,Has finding site
26719,Chronic laryngotracheitis,4236661,90734009,Chronic,Has clinical course
26719,Chronic laryngotracheitis,4253009,409777003,Chronic inflammatory morphology,Has asso morph
26719,Chronic laryngotracheitis,4262229,4596009,Laryngeal structure,Has finding site
26727,Hematemesis,4025208,106079008,Digestive system function,Has interprets
26727,Hematemesis,4179955,50960005,Hemorrhage,Has asso morph
26727,Hematemesis,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
26899,Tuberculous laryngitis,4035081,113858008,Mycobacterium tuberculosis complex,Has causative agent
26899,Tuberculous laryngitis,4262229,4596009,Laryngeal structure,Has finding site
26899,Tuberculous laryngitis,4269928,6266001,Granulomatous inflammation,Has asso morph
26899,Tuberculous laryngitis,40480911,441862004,Infectious process,Has pathology
26908,Vincent's angina,4139265,32763000,Fusobacterium nucleatum,Has causative agent
26908,Vincent's angina,4171014,47474000,Treponema vincentii,Has causative agent
26908,Vincent's angina,4207370,54066008,Pharyngeal structure,Has finding site
26908,Vincent's angina,4217347,71877001,Acute necrotizing inflammation,Has asso morph
26908,Vincent's angina,40480911,441862004,Infectious process,Has pathology
26935,Disorder of endocrine testis,4122979,304042006,Testicular endocrine structure,Has finding site
27235,Primary malignant neoplasm of carotid body,4197418,51345006,Carotid body structure,Has finding site
27235,Primary malignant neoplasm of carotid body,37153816,1240414004,Malignant neoplasm,Has asso morph
27235,Primary malignant neoplasm of carotid body,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
27438,Burn of esophagus,4140098,32849002,Esophageal structure,Has finding site
27438,Burn of esophagus,4168004,48333001,Burn injury,Has asso morph
27438,Burn of esophagus,36674407,773760007,Traumatic event,Has due to
27516,Neoplasm of uncertain behavior of paraganglia,4144244,33805007,Paraganglia structure,Has finding site
27516,Neoplasm of uncertain behavior of paraganglia,4313421,86251006,Neoplasm of uncertain behavior,Has asso morph
27835,Neoplasm of uncertain behavior of pituitary gland,4209428,56329008,Pituitary structure,Has finding site
27835,Neoplasm of uncertain behavior of pituitary gland,4313421,86251006,Neoplasm of uncertain behavior,Has asso morph
27918,Eosinophilic esophagitis,4042400,16759001,Chronic eosinophilic inflammation,Has asso morph
27918,Eosinophilic esophagitis,4140098,32849002,Esophageal structure,Has finding site
27918,Eosinophilic esophagitis,4236661,90734009,Chronic,Has clinical course
27918,Eosinophilic esophagitis,43021170,472964009,Allergic process,Has pathology
28060,Streptococcal sore throat,4207370,54066008,Pharyngeal structure,Has finding site
28060,Streptococcal sore throat,4240344,58800005,Streptococcus,Has causative agent
28060,Streptococcal sore throat,4253008,409774005,Inflammatory morphology,Has asso morph
28060,Streptococcal sore throat,40480911,441862004,Infectious process,Has pathology
28083,Primary malignant neoplasm of pharynx,4207370,54066008,Pharyngeal structure,Has finding site
28083,Primary malignant neoplasm of pharynx,37153816,1240414004,Malignant neoplasm,Has asso morph
28083,Primary malignant neoplasm of pharynx,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
28109,Carcinoma in situ of esophagus,4140098,32849002,Esophageal structure,Has finding site
28109,Carcinoma in situ of esophagus,37156895,1187138006,Carcinoma in situ,Has asso morph
28115,Benign neoplasm of pineal gland,4164136,45793000,Pineal structure,Has finding site
28115,Benign neoplasm of pineal gland,4305589,3898006,"Neoplasm, benign",Has asso morph
28356,Overlapping malignant neoplasm of major salivary gland,4002730,119282003,Major salivary gland structure,Has finding site
28356,Overlapping malignant neoplasm of major salivary gland,37153816,1240414004,Malignant neoplasm,Has asso morph
28385,Disorder of posterior pituitary,4292400,37512009,Neurohypophysis structure,Has finding site
28403,Gigantism and acromegaly,4146067,35105006,Increased,Has interpretation
28403,Gigantism and acromegaly,4146194,35188005,Hormone production,Has interprets
28403,Gigantism and acromegaly,4154781,271603002,Height / growth measure,Has interprets
28403,Gigantism and acromegaly,4200975,52618001,Structure of distal part of pituitary,Has finding site
28403,Gigantism and acromegaly,4204670,308490002,Pathological developmental process,Has pathology
28457,Hypertrophy of tonsils,4088482,280412006,Entire left tonsil (palatine),Has finding site
28457,Hypertrophy of tonsils,4090917,280411004,Entire right tonsil (palatine),Has finding site
28457,Hypertrophy of tonsils,4128641,260376009,Enlarged,Has interpretation
28457,Hypertrophy of tonsils,4210465,56246009,Hypertrophy,Has asso morph
28457,Hypertrophy of tonsils,4239899,364047008,Size of tonsil,Has interprets
28461,Hypertrophy of salivary gland,4210465,56246009,Hypertrophy,Has asso morph
28461,Hypertrophy of salivary gland,4294042,385294005,Salivary gland structure,Has finding site
28462,Fistula of salivary gland,4043006,118622000,Fistula,Has asso morph
28462,Fistula of salivary gland,4294042,385294005,Salivary gland structure,Has finding site
28716,Benign neoplasm of aortic body,4305589,3898006,"Neoplasm, benign",Has asso morph
28716,Benign neoplasm of aortic body,4327482,75061007,Aortic body,Has finding site
28779,Bleeding esophageal varices,4237283,57052009,Bleeding varices,Has asso morph
28779,Bleeding esophageal varices,4237655,90895003,Structure of esophageal vein,Has finding site
28974,Candidiasis of the esophagus,4139129,3265006,Candida,Has causative agent
28974,Candidiasis of the esophagus,4140098,32849002,Esophageal structure,Has finding site
28974,Candidiasis of the esophagus,40480911,441862004,Infectious process,Has pathology
29056,Sialoadenitis,4253008,409774005,Inflammatory morphology,Has asso morph
29056,Sialoadenitis,4294042,385294005,Salivary gland structure,Has finding site
29735,Candidiasis of mouth,4047651,123851003,Mouth region structure,Has finding site
29735,Candidiasis of mouth,4139129,3265006,Candida,Has causative agent
29735,Candidiasis of mouth,40480911,441862004,Infectious process,Has pathology
29979,Crushing injury of neck,4060415,19921004,Crushing injury (morphology),Has asso morph
29979,Crushing injury of neck,4260843,45048000,Neck structure,Has finding site
29979,Crushing injury of neck,36674407,773760007,Traumatic event,Has due to
30061,Neoplasm of uncertain behavior of major salivary gland,4002730,119282003,Major salivary gland structure,Has finding site
30061,Neoplasm of uncertain behavior of major salivary gland,4313421,86251006,Neoplasm of uncertain behavior,Has asso morph
30124,Obstruction of larynx,4093906,26036001,Obstruction,Has asso morph
30124,Obstruction of larynx,4262229,4596009,Laryngeal structure,Has finding site
30133,Acute laryngitis,4163835,4532008,Acute inflammation,Has asso morph
30133,Acute laryngitis,4262229,4596009,Laryngeal structure,Has finding site
30133,Acute laryngitis,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
30163,Cellulitis and abscess of neck,4195605,44132006,Abscess morphology,Has asso morph
30163,Cellulitis and abscess of neck,4260843,45048000,Neck structure,Has finding site
30163,Cellulitis and abscess of neck,4299470,385627004,Cellulitis,Has asso morph
30234,Neck sprain,4217193,72579007,Structure of ligament of neck,Has finding site
30234,Neck sprain,4298490,384709000,Sprain,Has asso morph
30234,Neck sprain,36674407,773760007,Traumatic event,Has due to
30274,Full thickness burn of neck,4189257,389073006,Skin and/or subcutaneous tissue structure of neck,Has finding site
30274,Full thickness burn of neck,4213471,80247002,Third degree burn injury,Has asso morph
30274,Full thickness burn of neck,36674407,773760007,Traumatic event,Has due to
30284,Motion sickness,4209294,56219004,Motion,Has causative agent
30284,Motion sickness,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
30333,Gonorrhea of pharynx,4207370,54066008,Pharyngeal structure,Has finding site
30333,Gonorrhea of pharynx,4285582,68704007,Neisseria gonorrhoeae,Has causative agent
30333,Gonorrhea of pharynx,40480911,441862004,Infectious process,Has pathology
30346,Primary malignant neoplasm of neck,4260843,45048000,Neck structure,Has finding site
30346,Primary malignant neoplasm of neck,37153816,1240414004,Malignant neoplasm,Has asso morph
30346,Primary malignant neoplasm of neck,37157802,1234914003,Primary malignant neoplastic proliferation,Has pathology
30356,Benign neoplasm of pharynx,4207370,54066008,Pharyngeal structure,Has finding site
30356,Benign neoplasm of pharynx,4305589,3898006,"Neoplasm, benign",Has asso morph
30361,Hypoglycemic disorder,4083207,281300000,Below reference range,Has interpretation
30361,Hypoglycemic disorder,4202143,434912009,Blood glucose concentration,Has interprets
30439,Acute peptic ulcer with perforation but without obstruction,4096339,26317001,Acute ulcer,Has asso morph
30439,Acute peptic ulcer with perforation but without obstruction,4239211,91182001,Perforated ulcer,Has asso morph
30439,Acute peptic ulcer with perforation but without obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
30439,Acute peptic ulcer with perforation but without obstruction,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
30441,Sialolithiasis,4209441,56381008,Calculus,Has asso morph
30441,Sialolithiasis,4294042,385294005,Salivary gland structure,Has finding site
30442,Chronic peptic ulcer with perforation AND obstruction,4093906,26036001,Obstruction,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4233476,405719001,Chronic ulcer,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4236661,90734009,Chronic,Has clinical course
30442,Chronic peptic ulcer with perforation AND obstruction,4239211,91182001,Perforated ulcer,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
30679,Benign neoplasm of major salivary gland,4002730,119282003,Major salivary gland structure,Has finding site
