source_concept_id,source_term,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name
786005,Other specified chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease
786007,Other specified chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease
786099,Other congenital malformations of liver,444421,Congenital anomaly of liver,exactMatch,,,,congenital malformations of liver,444421,Congenital anomaly of liver
786340,"Husband, current, perpetrator of maltreatment and neglect",4113020,Finding relating to aggressive behavior,broadMatch,,,,"Husband, current, perpetrator of maltreatment and neglect",-1,
786349,"Non-binary partner, current, perpetrator of maltreatment and neglect",4113020,Finding relating to aggressive behavior,broadMatch,,,,"Non-binary partner, current, perpetrator of maltreatment and neglect",-1,
920125,Sarcoma of dendritic cells (accessory cells),607994,Dendritic cell sarcoma,exactMatch,,,,Sarcoma of dendritic cells (accessory cells),-1,
1102626,Fanconi anemia,4148471,Fanconi's anemia,exactMatch,,,,Fanconi anemia,4148471,Fanconi's anemia
1102629,"Type 1 diabetes mellitus, presymptomatic, Stage 1",37174264,Presymptomatic type 1 diabetes mellitus,exactMatch,,,,"Type 1 diabetes mellitus, presymptomatic, Stage 1",-1,
1102630,"Type 1 diabetes mellitus, presymptomatic, Stage 2",37174265,Presymptomatic type 1 diabetes mellitus,exactMatch,,,,"Type 1 diabetes mellitus, presymptomatic, Stage 2",-1,
1102631,Hypoglycemia level,24609,Hypoglycemia,exactMatch,,,,Hypoglycemia level,-1,
1102633,Hypoglycemia level 2,24609,Hypoglycemia,broadMatch,,,,Hypoglycemia level 2,-1,
1102634,Hypoglycemia level 3,24609,Hypoglycemia,broadMatch,4268413.0,Hypoglycemic attack requiring 3rd party assistance,exactMatch,Hypoglycemia level 3,-1,
1102635,"Carcinoid syndrome, unspecified",199771,Carcinoid syndrome,exactMatch,,,,Carcinoid syndrome,199771,Carcinoid syndrome
1102637,Other carcinoid syndrome,199771,Carcinoid syndrome,exactMatch,,,,carcinoid syndrome,199771,Carcinoid syndrome
1102642,Other obesity not elsewhere classified,433736,Obesity,exactMatch,,,,obesity,433736,Obesity
1102643,Disorders of citrate metabolism,4021042,Disorder of organic acid metabolism,broadMatch,,,,Disorders of citrate metabolism,-1,
1102646,Obesity due to disruption of MC4R pathway,37397209,Obesity due to melanocortin 4 receptor deficiency,exactMatch,,,,Obesity due to disruption of MC4R pathway,-1,
1102660,"Bulimia nervosa, mild",438407,Bulimia nervosa,broadMatch,,,,"Bulimia nervosa, mild",-1,
1102671,Pica in adults,437839,Pica,exactMatch,,,,Pica in adults,-1,
1102672,Rumination disorder in adults,36716719,Adult rumination syndrome of ingested food,exactMatch,,,,Rumination disorder in adults,-1,
1102673,KCNQ2-related epilepsy,36680579,KCNQ2-related epileptic encephalopathy,exactMatch,,,,KCNQ2-related epilepsy,-1,
1102680,Developmental and epileptic encephalopathy,37168142,Developmental and epileptic encephalopathy,exactMatch,,,,Developmental and epileptic encephalopathy,37168142,Developmental and epileptic encephalopathy
1102682,Fat embolism of pulmonary artery with acute cor pulmonale,4119608,Pulmonary fat embolism,broadMatch,,,,Fat embolism of pulmonary artery with acute cor pulmonale,-1,
1102684,Fat embolism of pulmonary artery without acute cor pulmonale,4119608,Pulmonary fat embolism,exactMatch,4119608.0,Pulmonary fat embolism,broadMatch,Fat embolism of pulmonary artery without acute cor pulmonale,-1,
1102696,"Anal fistula, unspecified",37203984,Anal fistula,exactMatch,,,,Anal fistula,36768488,Anal fistula
1102702,"Anal fistula, complex",37203984,Anal fistula,broadMatch,,,,"Anal fistula, complex",-1,
1102708,"Rectal fistula, simple",4213865,Rectal fistula,exactMatch,4213865.0,Rectal fistula,broadMatch,"Rectal fistula, simple",-1,
1102712,"Rectal fistula, simple, unspecified",4213865,Rectal fistula,exactMatch,4213865.0,Rectal fistula,broadMatch,"Rectal fistula, simple",-1,
1102721,"Anorectal fistula, simple, recurrent",193807,Anorectal fistula,broadMatch,,,,"Anorectal fistula, simple, recurrent",-1,
1102730,"Lichen planopilaris, unspecified",4276173,Lichen planopilaris,exactMatch,,,,Lichen planopilaris,4276173,Lichen planopilaris
1102732,Frontal fibrosing alopecia,37399021,Frontal fibrosing alopecia,exactMatch,,,,Frontal fibrosing alopecia,37399021,Frontal fibrosing alopecia
1102745,"Unspecified synovitis and tenosynovitis, unspecified site",74728,Synovitis and tenosynovitis,exactMatch,,,,synovitis and tenosynovitis,74728,Synovitis and tenosynovitis
1102746,"Unspecified synovitis and tenosynovitis, shoulder",4118007,Synovitis/tenosynovitis - shoulder,exactMatch,,,,"synovitis and tenosynovitis, shoulder",-1,
1102776,Bicuspid aortic valve,4218450,Bicuspid aortic valve,exactMatch,,,,Bicuspid aortic valve,4218450,Bicuspid aortic valve
1102778,Other congenital malformations of aortic and mitral valves,4322316,Congenital anomaly of heart valve,broadMatch,,,,congenital malformations of aortic and mitral valves,-1,
1102780,Anosognosia,4050254,Anosognosia,exactMatch,,,,Anosognosia,4050254,Anosognosia
1102831,Progesterone receptor positive status,4219694,Progesterone receptor positive tumor,exactMatch,,,,Progesterone receptor positive status,-1,
1102832,Progesterone receptor negative status,4261934,Progesterone receptor negative neoplasm,exactMatch,,,,Progesterone receptor negative status,-1,
1102837,Hormone receptor positive,4167363,Hormone receptor positive tumor,exactMatch,,,,Hormone receptor positive,-1,
1102840,Hormone receptor negative,4230400,Hormone receptor negative neoplasm,exactMatch,,,,Hormone receptor negative,-1,
1102880,"Sezary disease, in remission",4041799,Sezary's disease,broadMatch,,,,"Sezary disease, in remission",-1,
1102895,Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,4082627,Enteropathy-associated T-cell lymphoma,exactMatch,,,,Enteropathy-type intestinal T-cell lymphoma not having achieved remission,-1,
1102901,Angioimmunoblastic T-cell lymphoma not having achieved remission,4184976,Angioimmunoblastic T-cell lymphoma,exactMatch,4184976.0,Angioimmunoblastic T-cell lymphoma,broadMatch,Angioimmunoblastic T-cell lymphoma not having achieved remission,-1,
1102902,"Angioimmunoblastic T-cell lymphoma, in remission",4144302,Hodgkin's disease in remission,broadMatch,,,,"Angioimmunoblastic T-cell lymphoma, in remission",-1,
1102905,Waldenstrom macroglobulinemia not having achieved remission,4098597,Waldenstrom macroglobulinemia,exactMatch,,,,"Waldenstrom macroglobulinemia, not having achieved remission",-1,
1102907,Heavy chain disease not having achieved remission,4288751,Heavy chain disease,exactMatch,4288751.0,Heavy chain disease,broadMatch,Heavy chain disease not having achieved remission,-1,
1102908,"Heavy chain disease, in remission",4288751,Heavy chain disease,broadMatch,,,,"Heavy chain disease, in remission",-1,
1102913,Other malignant immunoproliferative diseases not having achieved remission,4003834,Malignant immunoproliferative disease (clinical),exactMatch,,,,malignant immunoproliferative diseases not having achieved remission,-1,
1102915,"Malignant immunoproliferative disease, unspecified not having achieved remission",4003834,Malignant immunoproliferative disease (clinical),exactMatch,4003834.0,Malignant immunoproliferative disease (clinical),broadMatch,Malignant immunoproliferative disease not having achieved remission,-1,
1326522,"Degenerative myopia with retinal detachment, left eye",381281,Degenerative progressive high myopia,broadMatch,,,,"Degenerative myopia with retinal detachment, left eye",-1,
1326600,Right heart failure,4273632,Right ventricular failure,exactMatch,,,,Right heart failure,4273632,Right ventricular failure
1326602,Acute right heart failure,4233424,Acute right-sided heart failure,exactMatch,,,,Acute right heart failure,-1,
1326717,"Unspecified lump in the left breast, unspecified quadrant",760895,Mass of left breast,exactMatch,,,,lump in left breast,760895,Mass of left breast
1326728,Right tubal pregnancy without intrauterine pregnancy,37209658,Pregnancy of right fallopian tube,exactMatch,,,,Right tubal pregnancy without intrauterine pregnancy,-1,
1335082,Grey matter heterotopia,4099082,Neuronal heterotopia,exactMatch,4145642.0,Ectopic gray matter,exactMatch,Grey matter heterotopia,40487944,Neuronal heterotopia
1335147,Shprintzen-Goldberg syndrome,36717691,Shprintzen Goldberg craniosynostosis syndrome,exactMatch,,,,Shprintzen-Goldberg syndrome,36717691,Shprintzen Goldberg craniosynostosis syndrome
1402645,"Paraganglioma, NOS",4120306,Paraganglioma,exactMatch,,,,Paraganglioma,4196794,Paraganglioma
1402682,Plasma cell sarcoma (machine translation),4216139,Plasmacytoma,exactMatch,4216139.0,Plasmacytoma,broadMatch,Plasma cell sarcoma (machine translation),-1,
1402983,Salmonella pneumonia (machine translation),258333,Salmonella pneumonia,exactMatch,,,,Salmonella pneumonia (machine translation),258333,Salmonella pneumonia
1403158,"Tuberculosis, bronchiectasis, pathology () (machine translation)",257775,Tuberculous bronchiectasis,exactMatch,,,,"Tuberculosis, bronchiectasis, pathology () (machine translation)",-1,
1403401,Tuberculous hydronephrosis (machine translation),73686,Tuberculosis of genitourinary system,broadMatch,,,,Tuberculous hydronephrosis (machine translation),-1,
1403691,Diphtheria laryngotracheitis (machine translation),438680,Laryngeal diphtheria,exactMatch,,,,Diphtheria laryngotracheitis (machine translation),-1,
1403958,Other and unspecified syphilis,436033,Syphilis,exactMatch,,,,syphilis,436033,Syphilis
1405016,Plasmodium malariae malaria with other complications,438353,Quartan malaria,broadMatch,,,,Plasmodium malariae malaria,-1,
1405272,Unspecified intestinal parasitism,196347,Intestinal parasitism,exactMatch,,,,intestinal parasitism,196347,Intestinal parasitism
1405305,Mixed pediculosis and phthiriasis,4148108,Pediculosis and phthirus infections,exactMatch,,,,Mixed pediculosis and phthiriasis,-1,
1407242,Benign neoplasm: Other and unspecified parts of mouth,137813,Benign neoplasm of mouth region,exactMatch,,,,Benign neoplasm of mouth,-1,
1407758,Sacral meningioma (machine translation),135767,Benign neoplasm of spinal meninges,broadMatch,,,,Sacral meningioma (machine translation),-1,
1409178,"Type 2 diabetes mellitus, with peripheral circulatory complications",443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,exactMatch,,,,"Type 2 diabetes mellitus, with peripheral circulatory complications",-1,
1409378,Pituitary abscess (machine translation),4265209,Abscess of pituitary,exactMatch,,,,Pituitary abscess (machine translation),-1,
1410337,"Mental and behavioural disorders due to use of opioids, harmful use",35610540,Harmful use of opioid,exactMatch,,,,"Mental and behavioural disorders due to use of opioids, harmful use",-1,
1410448,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication",4173746,Hallucinogen intoxication,exactMatch,,,,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication",-1,
1410524,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome",37312034,Amnestic disorder caused by psychoactive substance,exactMatch,,,,amnesic syndrome due to multiple drug use and use of other psychoactive substances,-1,
1411019,Sexual relationship disorder,35623653,Sexual relationship problem,exactMatch,,,,Sexual relationship disorder,-1,
1411039,"Mild mental retardation, Without mention of impairment of behaviour",432612,Mild intellectual disability,exactMatch,,,,Mild mental retardation,-1,
1411230,"Bacterial meningitis, unspecified",436091,Bacterial meningitis,exactMatch,,,,Bacterial meningitis,436091,Bacterial meningitis
1411284,Ventriculitis (machine translation),43531591,Ventriculitis of the brain,exactMatch,,,,Ventriculitis (machine translation),42572744,Ventriculitis
1411316,Intracranial inflammatory granuloma (machine translation),43530721,Intracranial granuloma,exactMatch,,,,Intracranial inflammatory granuloma (machine translation),-1,
1411320,Intraspinal abscess and granuloma,4181187,Inflammatory disorder of head,broadMatch,,,,Intraspinal abscess and granuloma,-1,
1411507,Pick's disease dementia (machine translation),44782710,Dementia due to Pick's disease,exactMatch,,,,Pick's disease dementia (machine translation),-1,
1411661,Migraine with aura [classical migraine],381549,Migraine with aura,exactMatch,,,,Migraine with aura [classical migraine],-1,
1411837,Other cranial nerve disorders in other diseases classified elsewhere,441848,Cranial nerve disorder,exactMatch,,,,cranial nerve disorders,441848,Cranial nerve disorder
1412542,Pseudo-pterygium (machine translation),377564,Pseudopterygium,exactMatch,,,,Pseudo-pterygium (machine translation),-1,
1413053,Eye tumor (machine translation),4160345,Neoplasm of eye proper,exactMatch,,,,Eye tumor (machine translation),-1,
1413087,Disorders of other visual pathways,257293,Disorder of visual pathways,exactMatch,,,,Disorders of visual pathways,257293,Disorder of visual pathways
1420635,Rotator cuff syndrome,4212887,Disorder of rotator cuff,exactMatch,4212887.0,Disorder of rotator cuff,broadMatch,Rotator cuff syndrome,-1,
1421301,Osseous stenosis of neural canal,4069651,Stenosis of spinal canal due to bone,exactMatch,,,,Osseous stenosis of neural canal,-1,
1421687,Other lower urinary tract calculus,197028,Calculus of lower urinary tract,exactMatch,,,,lower urinary tract calculus,197028,Calculus of lower urinary tract
1421945,Other specified urinary incontinence,197672,Urinary incontinence,exactMatch,,,,urinary incontinence,197672,Urinary incontinence
1423040,Ectopic pregnancy shock (machine translation),46269808,Shock due to ectopic pregnancy,exactMatch,37167172.0,Shock following ectopic pregnancy,exactMatch,Ectopic pregnancy shock (machine translation),-1,
1423175,Pregnant women with pelvic inflammatory disease (machine translation),4060296,Infections of the genital tract in pregnancy,broadMatch,,,,Pregnant women with pelvic inflammatory disease (machine translation),-1,
1423189,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,606039,Pre-existing malnutrition-related diabetes mellitus in pregnancy,exactMatch,,,,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,-1,
1423535,Malformation of placenta,4143187,Anomaly of placenta,exactMatch,,,,Malformation of placenta,4143187,Anomaly of placenta
1423740,Delivery complicated by fetal heart rate abnormalities (machine translation),443247,Labor and delivery complicated by fetal heart rate anomaly,exactMatch,,,,Delivery complicated by fetal heart rate abnormalities (machine translation),-1,
1424031,Toxic reaction to local anaesthesia during the puerperium,4061350,Toxic reaction to local anesthesia during the puerperium,exactMatch,,,,Toxic reaction to local anaesthesia during the puerperium,4061350,Toxic reaction to local anesthesia during the puerperium
1424182,Pregnant women with hyperlipidemia (machine translation),4062791,"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium",broadMatch,,,,Pregnant women with hyperlipidemia (machine translation),-1,
1424365,Fetus and newborn affected by oligohydramnios,37167136,Fetal disorder due to oligohydramnios,exactMatch,,,,Fetus and newborn affected by oligohydramnios,-1,
1425002,Transitory neonatal hyperthyroidism,4210297,Neonatal transient hyperthyroidism,exactMatch,,,,Transitory neonatal hyperthyroidism,-1,
1426278,"Congenital malformation of female genitalia, unspecified",4243365,Congenital anomaly of female genital system,exactMatch,,,,Congenital malformation of female genitalia,-1,
1426609,Congenital dislocation of the elbow (machine translation),4161208,Congenital dislocation of elbow,exactMatch,,,,Congenital dislocation of the elbow (machine translation),-1,
1427062,"Other congenital malformations, not elsewhere classified",4079975,Congenital malformation,exactMatch,,,,congenital malformations,4079975,Congenital malformation
1427259,Cardiac murmurs and other cardiac sounds,4114164,Finding of heart sounds,broadMatch,,,,Cardiac murmurs and other cardiac sounds,-1,
1427845,Abnormal plasma viscosity,4168839,Plasma viscosity outside reference range,exactMatch,,,,Abnormal plasma viscosity,4168839,Plasma viscosity outside reference range
1429181,Injury of other pelvic organs,201436,Injury of pelvic organ,exactMatch,,,,Injury of pelvic organs,201436,Injury of pelvic organ
1433619,Adverse effects in the therapeutic use of mineralocorticoids,4303811,Mineralocorticoid adverse reaction,exactMatch,,,,Adverse effects in the therapeutic use of mineralocorticoids,-1,
1434052,Blood alcohol level of less than 20 mg/100 ml,40484946,High alcohol level in blood,broadMatch,,,,Blood alcohol level of less than 20 mg/100 ml,-1,
1434357,Carrier of other specified bacterial diseases,4280828,Carrier of infectious organism,broadMatch,,,,Carrier of bacterial diseases,-1,
1434620,"Twins, both stillborn",4015162,Twins - both stillborn,exactMatch,,,,"Twins, both stillborn",4015162,Twins - both stillborn
1529217,"Chronic viral hepatitis B without delta-agent, other and unspecified phase",439674,Chronic viral hepatitis B without delta-agent,exactMatch,,,,Chronic viral hepatitis B without delta-agent,439674,Chronic viral hepatitis B without delta-agent
1567318,Trichomoniasis,434872,Infection by Trichomonas,exactMatch,,,,Trichomoniasis,434872,Infection by Trichomonas
1567339,Mosquito-borne viral encephalitis,372547,Viral encephalitis,broadMatch,,,,Mosquito-borne viral encephalitis,-1,
1567609,Malignant carcinoid tumors,1244536,Well-differentiated neuroendocrine tumor,broadMatch,,,,Malignant carcinoid tumors,-1,
1567612,Malignant carcinoid tumors of other sites,1244536,Well-differentiated neuroendocrine tumor,broadMatch,,,,Malignant carcinoid tumors,-1,
1567879,Postprocedural hemorrhage of the spleen following a procedure,4209571,Splenic hemorrhage,broadMatch,,,,Postprocedural hemorrhage of the spleen following a procedure,-1,
1567883,Other combined immunodeficiencies,40483560,Combined immunodeficiency disease,exactMatch,,,,combined immunodeficiencies,-1,
1568090,"Unspecified dementia, unspecified severity",4182210,Dementia,exactMatch,,,,dementia,4182210,Dementia
1568098,Alcohol abuse with alcohol-induced psychotic disorder,37164773,Psychosis caused by ethanol,broadMatch,,,,Alcohol abuse with alcohol-induced psychotic disorder,-1,
1568207,Other schizophrenia,435783,Schizophrenia,exactMatch,,,,schizophrenia,35823457,Schizophrenia
1568357,"Drug-induced headache, not elsewhere classified",46270383,Headache caused by drug,exactMatch,,,,Drug-induced headache,46270383,Headache caused by drug
1569434,Other intraoperative cardiac functional disturbances,4180636,Cardiac complication of procedure,broadMatch,,,,intraoperative cardiac functional disturbances,-1,
1569462,Influenza due to unidentified influenza virus,4266367,Influenza,exactMatch,,,,Influenza,4266367,Influenza
1569473,Other allergic rhinitis,257007,Allergic rhinitis,exactMatch,,,,allergic rhinitis,257007,Allergic rhinitis
1569476,Nasal polyp,42537251,Polyp of nasal cavity and/or nasal sinus,exactMatch,42537252.0,Polyp of nasal cavity,exactMatch,Nasal polyp,-1,
1569701,Other intestinal malabsorption,194993,Intestinal malabsorption,exactMatch,,,,intestinal malabsorption,194993,Intestinal malabsorption
1569886,"Staphylococcal arthritis, elbow",37310646,Arthritis of right elbow caused by Staphylococcus,broadMatch,,,,"Staphylococcal arthritis, elbow",-1,
1569905,"Other streptococcal arthritis, hip",4197765,Bacterial arthritis of hip,broadMatch,,,,"streptococcal arthritis, hip",-1,
1569915,"Arthritis due to other bacteria, ankle and foot",40481620,Infective arthritis of ankle and/or foot,exactMatch,,,,"Arthritis due to bacteria, ankle and foot",-1,
1570780,"Other calcification of muscle, lower leg",40490403,Calcification of muscle,broadMatch,,,,"calcification of muscle, lower leg",-1,
1570785,"Other ossification of muscle, forearm",4196401,Muscular ossification,broadMatch,,,,"ossification of muscle, forearm",-1,
1570851,Other infective (teno)synovitis,4195698,Tenosynovitis,broadMatch,,,,infective tenosynovitis,-1,
1570979,"Unspecified soft tissue disorder related to use, overuse and pressure lower leg",4093228,Disorder of soft tissue of lower limb,broadMatch,,,,"soft tissue disorder related to use, overuse and pressure, lower leg",-1,
1571345,"Osteopathy after poliomyelitis, hand",435055,Poliomyelitis osteopathy of the hand,exactMatch,,,,"Osteopathy after poliomyelitis, hand",-1,
1571440,"Chondromalacia, hip",438531,Chondromalacia,broadMatch,,,,"Chondromalacia, hip",-1,
1571758,Continuing pregnancy after intrauterine death of one fetus or more,432373,Continuing pregnancy after intrauterine death of one or more fetuses,exactMatch,,,,Continuing pregnancy after intrauterine death of one fetus or more,-1,
1571843,"Antepartum hemorrhage, unspecified",434089,Antepartum hemorrhage,exactMatch,,,,Antepartum hemorrhage,434089,Antepartum hemorrhage
1571905,Tuberculosis complicating pregnancy,4145952,Tuberculosis in pregnancy,exactMatch,,,,Tuberculosis complicating pregnancy,-1,
1572015,Umbilical hemorrhage of newborn,438259,Umbilical hemorrhage after birth,exactMatch,,,,Umbilical hemorrhage of newborn,-1,
1572055,Congenital lens malformations,4027702,Congenital anomaly of lens,exactMatch,,,,Congenital lens malformations,-1,
1572120,Congenital deformities of hip,77373,Congenital deformity of hip joint,exactMatch,,,,Congenital deformities of hip,77373,Congenital deformity of hip joint
1572186,Abnormalities of heart beat,4262562,Abnormal heart beat,exactMatch,44784217.0,Cardiac arrhythmia,exactMatch,Abnormalities of heart beat,-1,
1572249,Dysphasia and aphasia,4024716,"Aphasia, agnosia, dyslexia AND/OR apraxia",broadMatch,,,,Dysphasia and aphasia,-1,
1572254,Fever of other and unknown origin,437663,Fever,exactMatch,4328373.0,Pyrexia of unknown origin,exactMatch,Fever,437663,Fever
1572266,Systemic inflammatory response syndrome (SIRS) of non-infectious origin,44784134,Non-infectious systemic inflammatory response syndrome,exactMatch,,,,Systemic inflammatory response syndrome (SIRS) of non-infectious origin,-1,
1572283,Proteinuria,75650,Proteinuria,exactMatch,,,,Proteinuria,75650,Proteinuria
1572403,Contusion of eyeball and orbital tissues,433911,Contusion of eye AND ocular adnexa,exactMatch,,,,Contusion of eyeball and orbital tissues,-1,
1572665,Injury of intercostal blood vessels,317713,Injury of blood vessels of thorax,broadMatch,,,,Injury of intercostal blood vessels,-1,
1572685,Unspecified injury of bronchus,4133990,Injury of bronchus,exactMatch,,,,injury of bronchus,4133990,Injury of bronchus
1572787,Multiple fractures of pelvis with disruption of pelvic ring,77115,Multiple open fractures of pelvis with disruption of pelvic circle,broadMatch,,,,Multiple fractures of pelvis with disruption of pelvic ring,-1,
1572809,Injury of branches of celiac and mesenteric artery,37167847,Injury of blood vessel of abdomen,broadMatch,,,,Injury of branches of celiac and mesenteric artery,-1,
1572934,Unspecified fracture of upper end of humerus,4133610,Fracture of upper end of humerus,exactMatch,,,,fracture of upper end of humerus,4133610,Fracture of upper end of humerus
1573395,Unspecified fracture of navicular [scaphoid] bone of wrist,4137945,Fracture of scaphoid bone of wrist,exactMatch,,,,fracture of navicular [scaphoid] bone of wrist,-1,
1573900,Injury of peroneal nerve at lower leg level,4106172,Traumatic injury of common peroneal nerve,exactMatch,,,,Injury of peroneal nerve at lower leg level,-1,
1574091,Fracture of unspecified tarsal bone(s),4134336,Fracture of tarsal bone,exactMatch,,,,Fracture of tarsal bone,4134336,Fracture of tarsal bone
1574259,Foreign body in other parts of respiratory tract,4094822,Foreign body in respiratory tract,exactMatch,,,,Foreign body in respiratory tract,4094822,Foreign body in respiratory tract
1574368,Burn of unspecified degree of wrist and hand,3657564,Burn of wrist and hand,exactMatch,,,,Burn of wrist and hand,3657564,Burn of wrist and hand
1574545,Corrosion of cornea and conjunctival sac,4335977,Injury of cornea,broadMatch,,,,Corrosion of cornea and conjunctival sac,-1,
1575178,Infection due to central venous catheter,42537043,CLABSI - central line associated bloodstream infection,broadMatch,,,,Infection due to central venous catheter,-1,
1575278,Infection and inflammatory reaction due to internal joint prosthesis,4308690,Prosthetic joint infection,broadMatch,,,,Infection and inflammatory reaction due to internal joint prosthesis,-1,
1575861,Military operations involving other firearms discharge,439446,Assault by military firearm,broadMatch,,,,firearms discharge,-1,
1575911,Obstetric and gynecological devices associated with adverse incidents,43021248,Complication associated with genitourinary device,broadMatch,,,,Obstetric and gynecological devices associated with adverse incidents,-1,
1575914,Orthopedic devices associated with adverse incidents,43021250,Complication associated with orthopedic device,exactMatch,,,,Orthopedic devices associated with adverse incidents,-1,
1576184,Contact with and (suspected) exposure to hazards in the physical environment,37016166,Exposure to potentially hazardous substance,broadMatch,,,,Contact with and (suspected) exposure to hazards in the physical environment,-1,
1576270,Insect allergy status,3661864,Allergic reaction caused by insect bite and/or insect sting,broadMatch,,,,Insect allergy status,-1,
1595653,"Infection of obstetric surgical wound, superficial incisional site",37208108,Infection of superficial obstetric surgical wound,exactMatch,,,,"Infection of obstetric surgical wound, superficial incisional site",-1,
21013352,Encephalopathy in endocrine and metabolic disorders classified elsewhere (machine translation),372892,Metabolic encephalopathy,exactMatch,,,,Encephalopathy in endocrine and metabolic disorders classified elsewhere (machine translation),-1,
35104073,Subacute combined cord degeneration,140099,Subacute combined degeneration of spinal cord,exactMatch,,,,Subacute combined cord degeneration,-1,
35104255,Polycythaemia vera,135214,Polycythemia vera (clinical),exactMatch,,,,Polycythaemia vera,4030270,Polycythemia vera
35124545,Small cell lymphocytic lymphoma,4119130,Malignant lymphoma - small lymphocytic,exactMatch,,,,Small cell lymphocytic lymphoma,-1,
35205597,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx
35205669,Urban rabies,377793,Rabies,broadMatch,,,,Urban rabies,-1,
35205691,Lymphocytic choriomeningitis,434860,Meningitis caused by lymphocytic choriomeningitis virus,exactMatch,,,,Lymphocytic choriomeningitis,434860,Meningitis caused by lymphocytic choriomeningitis virus
35205698,Dengue fever [classical dengue],440022,Dengue,exactMatch,,,,Dengue fever [classical dengue],-1,
35205805,Tinea barbae and tinea capitis,135473,Dermatophytosis,broadMatch,,,,Tinea barbae and tinea capitis,-1,
35205856,Cutaneous chromomycosis,4080755,Cutaneous chromoblastomycosis,broadMatch,,,,Cutaneous chromomycosis,-1,
35206544,Benign lipomatous neoplasm of intrathoracic organs,433167,Lipoma of intrathoracic organs,exactMatch,,,,Benign lipomatous neoplasm of intrathoracic organs,-1,
35206545,Benign lipomatous neoplasm of intra-abdominal organs,196654,Lipoma of intra-abdominal organs,exactMatch,,,,Benign lipomatous neoplasm of intra-abdominal organs,-1,
