concept_id_1,concept_name_1,relationship_id,concept_code_2,concept_name_2
73925,Burn of upper limb,Is a,80659006,Disorder of skin and/or subcutaneous tissue
73925,Burn of upper limb,Is a,280135003,Disorder of soft tissue of upper limb
73925,Burn of upper limb,Is a,125592002,Injury of integument
73925,Burn of upper limb,Is a,42041000087109,Burn of right upper limb
73302,Curvature of spine,Subsumes,287087003,Congenital lordosis/scoliosis
29783,Severe combined immunodeficiency disease,Subsumes,789777007,Short-limb skeletal dysplasia with severe combined immunodeficiency
24134,Neck pain,Subsumes,161880003,Stiff neck symptom
74080,Orthostatic proteinuria,Is a,29738008,Proteinuria
73849,Acquired lordosis deformity of spine,Is a,44950000,Acquired lordosis deformity of spine
73849,Acquired lordosis deformity of spine,Is a,1202045002,Acquired deformity of pelvic region
73849,Acquired lordosis deformity of spine,Is a,313481000119101,Hyperlordosis deformity of lumbar and sacral spine
31610,Disorder of esophagus,Subsumes,240477008,Esophageal herpes simplex infection
24296,Primary malignant neoplasm of pituitary gland,Is a,93964007,Primary malignant neoplasm of pituitary gland
25698,Complication of transplanted pancreas,Is a,300357002,Finding of pancreas
25211,Iatrogenic pituitary disorder,Is a,32390006,Panhypopituitarism
25211,Iatrogenic pituitary disorder,Is a,267388009,Idiopathic hypopituitarism
73383,Full thickness burn of foot,Is a,30044002,Full thickness burn of foot
72986,Disorder of lower leg,Subsumes,1237131000,Varicose vein of left lower leg
73575,Deformity of toe,Subsumes,205348007,Congenital curly toes
74126,Protrusio acetabuli of the pelvic region and thigh,Subsumes,15718361000119106,Intrapelvic protrusion of left acetabulum
31610,Disorder of esophagus,Subsumes,236086003,Esophageal anastomotic leak
23567,Branchial cleft cyst,Is a,274751001,Mass of head and/or neck
23567,Branchial cleft cyst,Is a,362998000,Branchial cleft anomaly
23567,Branchial cleft cyst,Is a,441457006,Cyst
30442,Chronic peptic ulcer with perforation AND obstruction,Is a,57871005,Chronic peptic ulcer with perforation AND obstruction
31610,Disorder of esophagus,Subsumes,15238002,Esophageal bleeding
73925,Burn of upper limb,Subsumes,11987551000119108,Epidermal burn of right forearm
73571,Pathological fracture,Is a,268029009,Pathological fracture
73571,Pathological fracture,Is a,16250001000004107,Fracture of shoulder
31610,Disorder of esophagus,Subsumes,78974003,Dilatation of esophagus
30679,Benign neoplasm of major salivary gland,Is a,1196815001,Benign neoplasm of lacrimal apparatus
30679,Benign neoplasm of major salivary gland,Is a,92205005,Benign neoplasm of major salivary gland
30679,Benign neoplasm of major salivary gland,Is a,127004000,Neoplasm of lacrimal gland
73036,Closed fracture of olecranon process of ulna,Subsumes,64902007,Closed fracture of olecranon process of ulna
73017,Congenital anomaly of toe,Subsumes,32113001,Syndactyly of toes
26638,Primary malignant neoplasm of esophagus,Is a,254539001,Carcinoma of thoracic part of esophagus
26638,Primary malignant neoplasm of esophagus,Is a,372017008,Primary malignant neoplasm of thoracic esophagus
73041,Closed fracture of five ribs,Subsumes,90863004,Closed fracture of eight OR more ribs
30437,Gastro-esophageal reflux disease with esophagitis,Is a,235597001,Barrett's esophagus with esophagitis
72469,Closed traumatic dislocation of joint of shoulder region,Is a,22911007,Closed traumatic dislocation of joint of shoulder region
24134,Neck pain,Subsumes,161882006,Stiff neck
28248,Cervical auricle,Is a,1089471000119100,Disorder of left pinna
28248,Cervical auricle,Is a,35547002,Polyotia
28248,Cervical auricle,Is a,40052002,Congenital anomaly of neck
24602,Benign neoplasm of esophagus,Is a,92091003,Benign neoplasm of esophagus
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,202463000,Palindromic rheumatism of ankle and/or foot
27587,Disturbance of salivary secretion,Is a,59140005,Abnormal salivary secretion
31884,Acquired diverticulum of esophagus,Is a,69771008,Congenital anomaly of esophagus
31884,Acquired diverticulum of esophagus,Is a,414133009,Esophageal diverticulum
27826,Combination of endocrine dysfunction,Subsumes,46724008,Polyglandular activity in multiple endocrine adenomatosis
74064,Ankylosis of temporomandibular joint,Is a,50603008,Ankylosis of temporomandibular joint
74064,Ankylosis of temporomandibular joint,Is a,91944005,Arthritis of temporomandibular joint
74064,Ankylosis of temporomandibular joint,Is a,302154007,Ankylosis of upper limb joint
25056,Congenital anomaly of neck,Is a,443341004,Congenital anomaly
25056,Congenital anomaly of neck,Is a,40052002,Congenital anomaly of neck
26711,Chronic pharyngitis,Is a,140004,Chronic pharyngitis
26711,Chronic pharyngitis,Is a,195709006,Pharyngolaryngitis
73334,Closed posterior dislocation of elbow,Is a,4273008,Closed posterior dislocation of elbow
73334,Closed posterior dislocation of elbow,Is a,157265008,Dislocation of hip joint
72994,Jaccoud's syndrome,Subsumes,299136009,Thumb joint deformity
72986,Disorder of lower leg,Subsumes,304961000119101,Congenital absence of left lower leg and foot
27826,Combination of endocrine dysfunction,Subsumes,733492003,Carney triad
73553,Arthropathy,Subsumes,429643006,Arthropathy of the elbow associated with a neurological disorder
25844,Ulcer of esophagus,Subsumes,64595005,Ulcer of esophagus caused by ingestion of medicine
72986,Disorder of lower leg,Subsumes,10649111000119106,Left calf ulcer
23325,Heartburn,Is a,36349006,Burning pain
23325,Heartburn,Is a,102619001,Pain in esophagus
43531641,Permanent neonatal diabetes mellitus,Is a,128284006,Chronic digestive system disorder
43531641,Permanent neonatal diabetes mellitus,Is a,42357009,Disorder of digestive system specific to fetus OR newborn
43531641,Permanent neonatal diabetes mellitus,Is a,736653007,Neonatal disorder of endocrine system
43531641,Permanent neonatal diabetes mellitus,Is a,17346000,Disorder of endocrine pancreas
28385,Disorder of posterior pituitary,Is a,72442006,Disorder of posterior pituitary
28385,Disorder of posterior pituitary,Is a,13196008,Secondary vasopressin-related polyuria
30284,Motion sickness,Subsumes,232309003,Ototoxic degeneration of cochlea
73041,Closed fracture of five ribs,Subsumes,20121009,Closed fracture of seven ribs
73553,Arthropathy,Subsumes,439656005,Arthritis of elbow
31610,Disorder of esophagus,Subsumes,717845000,Disorder of esophageal peristalsis
72994,Jaccoud's syndrome,Subsumes,274142002,Dupuytren's contracture of finger
73609,Open fracture of clavicle,Is a,1303381000,Fracture of right clavicle
73609,Open fracture of clavicle,Is a,10937641000119105,Closed fracture of right shoulder
73609,Open fracture of clavicle,Is a,416462003,Wound
73553,Arthropathy,Subsumes,281529004,Fracture of coronoid process of ulna
23798,Acute laryngopharyngitis,Is a,111273006,Acute respiratory disease
23798,Acute laryngopharyngitis,Is a,129134004,Inflammatory disorder of upper respiratory tract
23798,Acute laryngopharyngitis,Is a,128482007,Acute inflammatory disease
22820,Tuberculosis of esophagus,Is a,15284007,Tuberculosis of esophagus
22820,Tuberculosis of esophagus,Is a,312118003,Bacterial upper respiratory infection
23034,Neonatal hypoglycemia,Is a,276561008,Transitory neonatal hypoglycemia
23034,Neonatal hypoglycemia,Is a,736653007,Neonatal disorder of endocrine system
72390,Obstetric non-purulent mastitis,Is a,237439001,Abscess of nipple
72390,Obstetric non-purulent mastitis,Is a,19342008,Subacute disease
72390,Obstetric non-purulent mastitis,Is a,266579006,Inflammatory disorder of breast
72390,Obstetric non-purulent mastitis,Is a,95121000119108,Postpartum disorder of breast
30284,Motion sickness,Subsumes,232312000,Endocochlear rubella
72398,Arthropathy in Behcet's syndrome,Is a,62918002,Arthropathy in Behcet's syndrome
72398,Arthropathy in Behcet's syndrome,Is a,448589005,Arthritis of hand
72398,Arthropathy in Behcet's syndrome,Is a,1679003,Arthritis associated with another disorder
24134,Neck pain,Subsumes,725009002,Neck pain co-occurrent with neck stiffness following whiplash injury to neck
31057,Disorder of pharynx,Is a,75860007,Disorder of pharynx
31057,Disorder of pharynx,Is a,118934005,Disorder of head
27835,Neoplasm of uncertain behavior of pituitary gland,Subsumes,94808000,Neoplasm of uncertain behavior of craniopharyngeal duct
25572,Disorder of salivary gland,Subsumes,53827007,Excessive salivation
73555,Transient arthropathy of the pelvic region and thigh,Is a,201988000,Transient arthropathy of shoulder region
73555,Transient arthropathy of the pelvic region and thigh,Is a,201992007,Transient arthropathy of the pelvic region and thigh
29979,Crushing injury of neck,Is a,301210007,Lesion of larynx
29979,Crushing injury of neck,Is a,125588009,Injury of larynx
25698,Complication of transplanted pancreas,Subsumes,79369007,Complication of transplanted pancreas
73673,Disorder of prosthetic joint,Is a,724614007,Disorder of musculoskeletal system following procedure
73673,Disorder of prosthetic joint,Is a,385486001,Postoperative complication
73673,Disorder of prosthetic joint,Is a,399269003,Arthropathy
73673,Disorder of prosthetic joint,Is a,69260008,Complication of internal prosthetic device
73845,Joint ankylosis of the shoulder region,Is a,428107009,Disorder of wrist joint
73845,Joint ankylosis of the shoulder region,Is a,202298000,Joint ankylosis of the shoulder region
72986,Disorder of lower leg,Subsumes,15684201000119104,Periostitis of left lower leg
24134,Neck pain,Subsumes,298234007,Cervical spine stiff
30333,Gonorrhea of pharynx,Is a,312129004,Bacterial infection of the digestive tract
30333,Gonorrhea of pharynx,Is a,312118003,Bacterial upper respiratory infection
30333,Gonorrhea of pharynx,Is a,105629000,Chlamydial infection
30333,Gonorrhea of pharynx,Is a,312422001,Infective pharyngitis
30333,Gonorrhea of pharynx,Is a,409790005,Disease caused by Neisseria
30284,Motion sickness,Subsumes,232294002,Vestibular trauma
73017,Congenital anomaly of toe,Subsumes,205351000,Perodactylia of great toe
72421,Solitary bone cyst,Is a,203467005,Solitary bone cyst
26378,Hyperpituitarism,Is a,32390006,Panhypopituitarism
26378,Hyperpituitarism,Is a,724554001,Primary malignant epithelial neoplasm of endocrine gland
74124,Traumatic arthropathy,Is a,58188004,Traumatic arthropathy
73017,Congenital anomaly of toe,Subsumes,205352007,Perodactylia of lesser toe
30284,Motion sickness,Subsumes,232283001,Vestibular Ménière syndrome
30441,Sialolithiasis,Is a,300257000,Lesion of salivary gland
30441,Sialolithiasis,Is a,313413008,Calculus finding
72986,Disorder of lower leg,Subsumes,41651000087106,Cellulitis of left lower leg
26441,Bleeding ulcer of esophagus,Is a,24813008,Gastrointestinal complication
26441,Bleeding ulcer of esophagus,Is a,57748001,Bleeding ulcer of esophagus
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,201970008,Allergic arthritis of the ankle and/or foot
73575,Deformity of toe,Subsumes,271100003,Deformity of phalanx of toe
26060,Benign neoplasm of tonsil,Is a,126686005,Neoplasm of hypopharynx
26060,Benign neoplasm of tonsil,Is a,92263001,Benign neoplasm of tonsil
24978,Chronic adenotonsillitis,Is a,363176004,Inflammatory disorder of head
24978,Chronic adenotonsillitis,Is a,140004,Chronic pharyngitis
24978,Chronic adenotonsillitis,Is a,363177008,Inflammatory disorder of immune system
24978,Chronic adenotonsillitis,Is a,16358007,Chronic disease of tonsils AND/OR adenoids
73723,Benign neoplasm of epididymis,Is a,354141000119105,Benign neoplasm of left epididymis
30284,Motion sickness,Subsumes,62856000,Nonobliterative otosclerosis involving oval window
23304,Neck webbing,Is a,298397000,Lesion of neck
23304,Neck webbing,Is a,399893000,Disorder of skin of neck
23304,Neck webbing,Is a,95324001,Skin lesion
23304,Neck webbing,Is a,40052002,Congenital anomaly of neck
72986,Disorder of lower leg,Subsumes,323081000119104,Unequal lower limb length due to acquired shortening of left tibia
72715,Exostosis,Subsumes,16028711000119100,Exostosis of right calcaneus
73036,Closed fracture of olecranon process of ulna,Is a,281528007,Fracture of olecranon
73036,Closed fracture of olecranon process of ulna,Is a,33041006,Closed fracture of proximal end of ulna
73036,Closed fracture of olecranon process of ulna,Is a,373716002,Closed fracture involving joint
72986,Disorder of lower leg,Subsumes,16018191000119101,Osteopathy of left tibia following poliomyelitis
72986,Disorder of lower leg,Subsumes,40441000087100,Foreign body in left lower leg
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,698479000,Monoarthritis of ankle and/or foot
22340,Esophageal varices without bleeding,Subsumes,897004000,Esophageal varices due to cirrhosis of liver
25518,Sickle cell trait,Subsumes,16402000,Sickle cell trait
28462,Fistula of salivary gland,Subsumes,204635008,Congenital salivary gland fistula
24969,Laryngitis,Is a,26941000119100,Infection of larynx
24969,Laryngitis,Is a,45913009,Laryngitis
74052,Labyrinthitis,Is a,1091281000119101,Disorder of right ear
74052,Labyrinthitis,Is a,23919004,Labyrinthitis
28716,Benign neoplasm of aortic body,Is a,127028003,Neoplasm of carotid body
28716,Benign neoplasm of aortic body,Is a,91979007,Benign neoplasm of aortic body
73561,Loose body in joint of shoulder region,Is a,267917000,Loose body in joint of ankle and/or foot
73561,Loose body in joint of shoulder region,Is a,202148007,Loose body in joint of shoulder region
73561,Loose body in joint of shoulder region,Is a,15729561000119103,Arthropathy of left shoulder
23986,Disorder of pituitary gland,Is a,399244003,Disorder of pituitary gland
23986,Disorder of pituitary gland,Is a,301766008,Lesion of brain
23986,Disorder of pituitary gland,Is a,237715007,Pituitary mass
73553,Arthropathy,Subsumes,296641000119105,Flail joint of elbow
25572,Disorder of salivary gland,Subsumes,1217380005,HELIX syndrome
31610,Disorder of esophagus,Subsumes,70257007,Chalasia of lower esophageal sphincter
72986,Disorder of lower leg,Subsumes,16068091000119101,Bilateral benign lipomatous neoplasm of skin and/or subcutaneous tissue of lower limbs
28060,Streptococcal sore throat,Is a,54398005,Acute upper respiratory infection
28060,Streptococcal sore throat,Is a,127321000,Acute digestive system disorder
28060,Streptococcal sore throat,Is a,312129004,Bacterial infection of the digestive tract
28060,Streptococcal sore throat,Is a,75860007,Disorder of pharynx
28060,Streptococcal sore throat,Is a,312118003,Bacterial upper respiratory infection
28060,Streptococcal sore throat,Is a,85769006,Streptococcal infectious disease
30284,Motion sickness,Subsumes,10566007,Otosclerosis involving round window
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,444999002,Infective arthritis of ankle and/or foot
72986,Disorder of lower leg,Subsumes,292111000119104,Disorder of left deep peroneal nerve
30274,Full thickness burn of neck,Is a,40261006,Full thickness burn of neck
30678,Polyglandular activity in multiple endocrine adenomatosis,Is a,83649006,Increased hormone secretion
30678,Polyglandular activity in multiple endocrine adenomatosis,Is a,363104002,Hereditary disorder of endocrine system
30678,Polyglandular activity in multiple endocrine adenomatosis,Is a,85995004,Autosomal recessive hereditary disorder
31610,Disorder of esophagus,Subsumes,304519006,Disorder of esophageal tubal prosthesis
23220,Chronic tonsillitis,Is a,90979004,Chronic tonsillitis
23220,Chronic tonsillitis,Is a,301362007,Pain of digestive structure
23220,Chronic tonsillitis,Is a,162397003,Pain in throat
23220,Chronic tonsillitis,Is a,82423001,Chronic pain
23220,Chronic tonsillitis,Is a,300275004,Finding of sensation of pharynx
72693,Poor fetal growth affecting management,Is a,123946008,Disorder by body site
72693,Poor fetal growth affecting management,Is a,22033007,Fetal growth restriction
72708,Traumatic arthropathy of the shoulder region,Subsumes,38404000,Open fracture of acromial process of scapula
28462,Fistula of salivary gland,Subsumes,75260002,Fistula of salivary gland
72708,Traumatic arthropathy of the shoulder region,Subsumes,208232005,"Open fracture scapula, coracoid"
73553,Arthropathy,Subsumes,281528007,Fracture of olecranon
73553,Arthropathy,Subsumes,281525005,Fracture of the lateral humeral epicondyle
31967,Nausea,Subsumes,236083006,Intermittent vomiting
72576,Benign neoplasm of breast,Subsumes,92349005,Benign neoplasm of skin of breast
25518,Sickle cell trait,Subsumes,76050008,Hemoglobin C trait
72986,Disorder of lower leg,Subsumes,353043291000119101,Venous ulcer of left lower leg
24909,Hereditary spherocytosis,Is a,66091009,Congenital disease
24909,Hereditary spherocytosis,Is a,365621008,Finding of red blood cell shape
24909,Hereditary spherocytosis,Is a,61261009,Hemolytic anemia
24909,Hereditary spherocytosis,Is a,441934005,Measurement procedure result present
24909,Hereditary spherocytosis,Is a,414027002,Disorder of hematopoietic structure
24909,Hereditary spherocytosis,Is a,38292009,Red blood cell disorder
24909,Hereditary spherocytosis,Is a,154091000119106,Decline in functional status
73553,Arthropathy,Subsumes,202373004,Elbow joint effusion
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,417470001,Finding of bone of pelvis
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,12820001,Disorder of sacrum
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,93724001,Primary malignant neoplasm of bone of upper limb
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,699699005,Disorder of vertebral column
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,93686005,Primary malignant neoplasm of back
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,61296009,Disorder of coccyx
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Is a,399986003,Disorder of body wall
72245,Chlamydial infection of lower genitourinary tract,Is a,186729003,Chlamydial infection of lower genitourinary tract
72245,Chlamydial infection of lower genitourinary tract,Is a,301811001,Bacterial infection by site
30284,Motion sickness,Subsumes,13158007,Round window fistula
73008,Enthesopathy,Is a,302936009,Enthesopathy of wrist and/or hand
73008,Enthesopathy,Is a,451411000124105,Disorder of left upper extremity
72986,Disorder of lower leg,Subsumes,15670321000119101,Congenital contracture of left gastrocnemius muscle
26718,Acute peptic ulcer with perforation AND obstruction,Is a,35681000,Acute peptic ulcer with perforation AND obstruction
26718,Acute peptic ulcer with perforation AND obstruction,Is a,57871005,Chronic peptic ulcer with perforation AND obstruction
31884,Acquired diverticulum of esophagus,Subsumes,204667006,Congenital diverticulum of esophagus
72994,Jaccoud's syndrome,Subsumes,56814003,Overriding fingers
72486,Blister of elbow without infection,Subsumes,84208005,Blister of elbow without infection
31821,Disorder of endocrine system,Subsumes,39179006,Disorder of sexual differentiation
28127,"Multiple endocrine neoplasia, type 1",Is a,127016006,Neoplasm of multiple endocrine glands
28127,"Multiple endocrine neoplasia, type 1",Is a,371982006,Malignant neoplasm of endocrine gland
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,1074911000119106,Arthritis of right ankle
72995,Contracture of joint of hand,Is a,86414002,Contracture of joint of hand
72995,Contracture of joint of hand,Is a,451411000124105,Disorder of left upper extremity
30441,Sialolithiasis,Subsumes,196500001,Submandibular sialolithiasis
26514,Laryngeal web,Is a,89199004,Congenital web of esophagus
26514,Laryngeal web,Is a,301210007,Lesion of larynx
72618,Disorder of skeletal muscle,Is a,75047002,Disorder of skeletal muscle
31609,Abscess of salivary gland,Subsumes,196493006,Abscess of sublingual gland
73925,Burn of upper limb,Subsumes,11997881000119104,Partial thickness burn of right forearm
30163,Cellulitis and abscess of neck,Is a,91541006,Abscess of heel
30163,Cellulitis and abscess of neck,Is a,267783003,Cellulitis and abscess of foot excluding toe
30163,Cellulitis and abscess of neck,Is a,267779003,Cellulitis and abscess of neck
73575,Deformity of toe,Is a,299567001,Deformity of toe
73575,Deformity of toe,Is a,299566005,Finding of musculoskeletal structure of toe
31609,Abscess of salivary gland,Is a,80483009,Abscess of salivary gland
31609,Abscess of salivary gland,Is a,235026006,Abscess of oral soft tissue
31057,Disorder of pharynx,Subsumes,212032004,Burn of mouth and pharynx
72994,Jaccoud's syndrome,Subsumes,203555006,Extension deformity of finger
26459,Acute esophagitis,Is a,196682000,Acute peptic ulcer
26459,Acute esophagitis,Is a,439955006,Ulcerative esophagitis
26459,Acute esophagitis,Is a,409656006,Acute esophagitis
26459,Acute esophagitis,Is a,128482007,Acute inflammatory disease
23567,Branchial cleft cyst,Subsumes,73381000119100,Second branchial cleft cyst
72413,Nontraumatic rupture of muscle,Is a,128494003,Rupture of skeletal muscle
30439,Acute peptic ulcer with perforation but without obstruction,Is a,128284006,Chronic digestive system disorder
30439,Acute peptic ulcer with perforation but without obstruction,Is a,90489006,Peptic ulcer with hemorrhage AND with perforation but without obstruction
30439,Acute peptic ulcer with perforation but without obstruction,Is a,34921009,Acute peptic ulcer with perforation but without obstruction
30439,Acute peptic ulcer with perforation but without obstruction,Is a,27719009,Acute gastrointestinal hemorrhage
73297,Resolving infantile idiopathic scoliosis,Is a,128237006,Chronic disease of musculoskeletal system
73297,Resolving infantile idiopathic scoliosis,Is a,310431000119109,Infantile idiopathic scoliosis of cervicothoracic spine
31821,Disorder of endocrine system,Subsumes,123757009,Complex gonadal endocrine disorder
30441,Sialolithiasis,Subsumes,196499005,Parotid sialolithiasis
31610,Disorder of esophagus,Subsumes,47609003,Foreign body in esophagus
29783,Severe combined immunodeficiency disease,Subsumes,783617001,Severe combined immunodeficiency due to LCK deficiency
73553,Arthropathy,Subsumes,44113000,Juvenile osteochondrosis of radial head
31610,Disorder of esophagus,Is a,119291004,Disorder of upper gastrointestinal tract
31610,Disorder of esophagus,Is a,300284004,Finding of esophagus
31610,Disorder of esophagus,Is a,76712006,Disorder of digestive organ
30969,Testicular hyperfunction,Is a,286917001,Hypergonadism
30969,Testicular hyperfunction,Is a,73820008,Disorder of endocrine testis
30969,Testicular hyperfunction,Is a,10649000,Hyperpituitarism
31967,Nausea,Subsumes,8579004,Projectile vomiting
22340,Esophageal varices without bleeding,Subsumes,1197700001,Bleeding esophageal varices due to autoimmune hepatitis
25518,Sickle cell trait,Subsumes,7391009,Hemoglobin D trait
73616,Open fracture of lunate bone of wrist,Is a,209273000,Open fracture dislocation wrist
73616,Open fracture of lunate bone of wrist,Is a,53256003,Open fracture of lunate bone of wrist
73754,Restless legs,Subsumes,32914008,Restless legs
73012,Lordosis deformity of spine,Is a,111268000,Lordosis and scoliosis deformity of spine
73574,Nonunion of fracture,Is a,58150001,Fracture of clavicle
73574,Nonunion of fracture,Is a,302941001,Nonunion of fracture
73372,Burn of breast,Subsumes,80433004,Burn of breast
73338,Sprain of lateral collateral ligament of knee,Subsumes,11859821000119109,Sprain of lateral collateral ligament of left knee joint
73017,Congenital anomaly of toe,Subsumes,782758009,"Finger hyperphalangy, toe anomalies, severe pectus excavatum syndrome"
73553,Arthropathy,Subsumes,452251000124103,Arthropathy of right elbow
73553,Arthropathy,Subsumes,208272001,"Closed fracture distal humerus, capitellum"
73041,Closed fracture of five ribs,Subsumes,39335003,Closed fracture of four ribs
73302,Curvature of spine,Is a,64217002,Curvature of spine
73302,Curvature of spine,Is a,928000,Disorder of musculoskeletal system
26141,Barrett's esophagus with esophagitis,Is a,95518006,Gastrointestinal mucositis
26141,Barrett's esophagus with esophagitis,Is a,235597001,Barrett's esophagus with esophagitis
31967,Nausea,Subsumes,249500002,Effortless vomiting
31057,Disorder of pharynx,Subsumes,253750008,"Congenital malformation of tongue, mouth and pharynx"
73366,Crushing injury of lower leg,Is a,11790921000119104,Left thigh injury
73366,Crushing injury of lower leg,Is a,40874009,Crushing injury of lower leg
23799,Pharynx or nasopharynx edema,Is a,267038008,Edema
23799,Pharynx or nasopharynx edema,Is a,445385004,Swelling of head
23799,Pharynx or nasopharynx edema,Is a,249362007,Nasopharynx finding
27826,Combination of endocrine dysfunction,Subsumes,111545005,Multiple endocrine deficiency syndrome
72715,Exostosis,Subsumes,316651000119103,Bone spur of right foot
72817,Tuberculosis of urinary organs,Is a,187251001,Sequelae of tuberculosis
72817,Tuberculosis of urinary organs,Is a,363165003,Infectious sequelae of disorders
72817,Tuberculosis of urinary organs,Is a,363337006,Urinary sequelae of disorders
72817,Tuberculosis of urinary organs,Is a,312124009,Bacterial urinary infection
27826,Combination of endocrine dysfunction,Subsumes,111546006,Polyglandular dysfunction
73090,Contusion of foot,Is a,1340292000,Contusion of medial malleolus
73090,Contusion of foot,Is a,74814004,Contusion of foot
26899,Tuberculous laryngitis,Is a,95880003,Soft tissue infection
26899,Tuberculous laryngitis,Is a,128047003,Infectious disease of mucous membrane
26899,Tuberculous laryngitis,Is a,62907002,Respiratory complication
26899,Tuberculous laryngitis,Is a,446123007,Tuberculous abscess
26899,Tuberculous laryngitis,Is a,70341005,Tuberculous laryngitis
26899,Tuberculous laryngitis,Is a,95361005,Inflammatory disease of mucous membrane
26899,Tuberculous laryngitis,Is a,280132000,Disorder of soft tissue of neck
73686,Tuberculosis of genitourinary system,Is a,56717001,Tuberculosis
73686,Tuberculosis of genitourinary system,Is a,128561003,Granulomatous disorder
73686,Tuberculosis of genitourinary system,Is a,312123003,Bacterial urogenital infection
73686,Tuberculosis of genitourinary system,Is a,373406006,Inflammatory disorder of genitourinary system
30356,Benign neoplasm of pharynx,Is a,126686005,Neoplasm of hypopharynx
30356,Benign neoplasm of pharynx,Is a,232805002,Benign neoplasm of nasopharyngeal wall
31057,Disorder of pharynx,Subsumes,77097004,Oculopharyngeal muscular dystrophy
31610,Disorder of esophagus,Subsumes,16761005,Esophagitis
30753,Esophagitis,Is a,16761005,Esophagitis
30753,Esophagitis,Is a,196757008,Drug-induced gastrointestinal disturbance
31821,Disorder of endocrine system,Subsumes,276856001,Endocrine andrology disorder
4277749,"Gestation period, 17 weeks",Subsumes,72846000,"Gestation period, 14 weeks"
31821,Disorder of endocrine system,Subsumes,237786003,Gynecological endocrinology disorder
72986,Disorder of lower leg,Subsumes,15742161000119100,Bilateral acquired deformity of lower legs
72986,Disorder of lower leg,Subsumes,313811000119105,Atrophy of muscle of left lower leg
4277749,"Gestation period, 17 weeks",Subsumes,65683006,"Gestation period, 17 weeks"
28179,Polyp of vocal cord or larynx,Is a,9078005,Polyp of vocal cord
28179,Polyp of vocal cord or larynx,Is a,362975008,Degenerative disorder
23245,Esophageal bleeding,Is a,300286002,Lesion of esophagus
23245,Esophageal bleeding,Is a,15238002,Esophageal bleeding
