concept_id_1,concept_name_1,predicted_concept_id_2,predicted_concept_name_2,predicted_concept_code_2,attribute_category
30163,Cellulitis and abscess of neck,4299470,Cellulitis,385627004,Has asso morph
30163,Cellulitis and abscess of neck,4260843,Neck structure,45048000,Has finding site
30133,Acute laryngitis,4163835,Acute inflammation,4532008,Has asso morph
30133,Acute laryngitis,4262229,Laryngeal structure,4596009,Has finding site
30133,Acute laryngitis,4312510,Sudden onset AND/OR short duration,424124008,Has clinical course
30274,Full thickness burn of neck,4213471,Third degree burn injury,80247002,Has asso morph
30274,Full thickness burn of neck,4189257,Skin and/or subcutaneous tissue structure of neck,389073006,Has finding site
30234,Neck sprain,4298490,Sprain,384709000,Has asso morph
30234,Neck sprain,4080377,Ligament of spine in cervical region,182359007,Has finding site
30333,Gonorrhea of pharynx,4053015,Inflammation,23583003,Has asso morph
30333,Gonorrhea of pharynx,4253008,Inflammatory morphology,409774005,Has asso morph
30333,Gonorrhea of pharynx,4207370,Pharyngeal structure,54066008,Has finding site
30333,Gonorrhea of pharynx,4285582,Neisseria gonorrhoeae,68704007,Has causative agent
30333,Gonorrhea of pharynx,40480911,Infectious process,441862004,Has pathology
30356,Benign neoplasm of pharynx,4305589,"Neoplasm, benign",3898006,Has asso morph
30356,Benign neoplasm of pharynx,4207370,Pharyngeal structure,54066008,Has finding site
30346,Primary malignant neoplasm of neck,4312326,"Neoplasm, malignant (primary)",86049000,Has asso morph
30346,Primary malignant neoplasm of neck,37153816,Malignant neoplasm,1240414004,Has asso morph
30346,Primary malignant neoplasm of neck,4260843,Neck structure,45048000,Has finding site
30346,Primary malignant neoplasm of neck,37157802,Primary malignant neoplastic proliferation,1234914003,Has pathology
30284,Motion sickness,4260659,Vestibular structure,45006007,Has finding site
30284,Motion sickness,4209294,Motion,56219004,Has causative agent
30442,Chronic peptic ulcer with perforation AND obstruction,4233476,Chronic ulcer,405719001,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4239211,Perforated ulcer,91182001,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4093906,Obstruction,26036001,Has asso morph
30442,Chronic peptic ulcer with perforation AND obstruction,4271189,Upper gastrointestinal tract structure,62834003,Has finding site
30442,Chronic peptic ulcer with perforation AND obstruction,4236661,Chronic,90734009,Has clinical course
30361,Hypoglycemic disorder,4301372,Endocrine pancreatic structure,78696007,Has finding site
30361,Hypoglycemic disorder,4202143,Blood glucose concentration,434912009,Has interprets
30361,Hypoglycemic disorder,4083207,Below reference range,281300000,Has interpretation
30439,Acute peptic ulcer with perforation but without obstruction,4096339,Acute ulcer,26317001,Has asso morph
30439,Acute peptic ulcer with perforation but without obstruction,4239211,Perforated ulcer,91182001,Has asso morph
30439,Acute peptic ulcer with perforation but without obstruction,4271189,Upper gastrointestinal tract structure,62834003,Has finding site
30439,Acute peptic ulcer with perforation but without obstruction,4312510,Sudden onset AND/OR short duration,424124008,Has clinical course
29783,Severe combined immunodeficiency disease,4021240,Structure of immune system,116003000,Has finding site
29783,Severe combined immunodeficiency disease,4116830,Congenital,255399007,Has occurrence
29783,Severe combined immunodeficiency disease,35626089,Abnormal immune process,769247005,Has pathology
29783,Severe combined immunodeficiency disease,4087703,Severe,24484000,Has severity
30365,Panhypopituitarism,4270353,Adenohypophysis structure,62818001,Has finding site
30365,Panhypopituitarism,4049132,Endocrine function,123036008,Has interprets
30365,Panhypopituitarism,4053347,Decreased,1250004,Has interpretation
30441,Sialolithiasis,4209441,Calculus,56381008,Has asso morph
30441,Sialolithiasis,4294042,Salivary gland structure,385294005,Has finding site
30515,Congenital esophageal ring,4295289,Congenital webbing,76640006,Has asso morph
30515,Congenital esophageal ring,4140098,Esophageal structure,32849002,Has finding site
30515,Congenital esophageal ring,4116830,Congenital,255399007,Has occurrence
30515,Congenital esophageal ring,4204670,Pathological developmental process,308490002,Has pathology
30437,Gastro-esophageal reflux disease with esophagitis,4053015,Inflammation,23583003,Has asso morph
30437,Gastro-esophageal reflux disease with esophagitis,4253008,Inflammatory morphology,409774005,Has asso morph
30437,Gastro-esophageal reflux disease with esophagitis,4140098,Esophageal structure,32849002,Has finding site
30683,Hemoglobin SS disease without crisis,4177967,Drepanocyte,49938009,Has asso morph
30683,Hemoglobin SS disease without crisis,4218976,Erythrocyte,41898006,Has finding site
30683,Hemoglobin SS disease without crisis,4178879,Hemoglobin S,50095005,Has causative agent
30683,Hemoglobin SS disease without crisis,4116830,Congenital,255399007,Has occurrence
30683,Hemoglobin SS disease without crisis,40480067,Measurement of total hemoglobin concentration,441689006,Has interprets
30683,Hemoglobin SS disease without crisis,4083207,Below reference range,281300000,Has interpretation
30753,Esophagitis,4053015,Inflammation,23583003,Has asso morph
30753,Esophagitis,4253008,Inflammatory morphology,409774005,Has asso morph
30753,Esophagitis,4140098,Esophageal structure,32849002,Has finding site
30679,Benign neoplasm of major salivary gland,4305589,"Neoplasm, benign",3898006,Has asso morph
30679,Benign neoplasm of major salivary gland,4002730,Major salivary gland structure,119282003,Has finding site
31057,Disorder of pharynx,4207370,Pharyngeal structure,54066008,Has finding site
30969,Testicular hyperfunction,4122979,Testicular endocrine structure,304042006,Has finding site
30969,Testicular hyperfunction,4246181,Hormone secretion,60877009,Has interprets
30969,Testicular hyperfunction,4146067,Increased,35105006,Has interpretation
30978,Thalassemia,4218976,Erythrocyte,41898006,Has finding site
30978,Thalassemia,40480067,Measurement of total hemoglobin concentration,441689006,Has interprets
30978,Thalassemia,4083207,Below reference range,281300000,Has interpretation
30978,Thalassemia,4116830,Congenital,255399007,Has occurrence
30678,Polyglandular activity in multiple endocrine adenomatosis,4298971,Structure of multiple endocrine glands,77637002,Has finding site
30678,Polyglandular activity in multiple endocrine adenomatosis,4246181,Hormone secretion,60877009,Has interprets
30678,Polyglandular activity in multiple endocrine adenomatosis,4146067,Increased,35105006,Has interpretation
30770,Chronic peptic ulcer with hemorrhage but without obstruction,4243483,Chronic bleeding ulcer,37904008,Has asso morph
30770,Chronic peptic ulcer with hemorrhage but without obstruction,4271189,Upper gastrointestinal tract structure,62834003,Has finding site
30770,Chronic peptic ulcer with hemorrhage but without obstruction,4236661,Chronic,90734009,Has clinical course
31509,Primary malignant neoplasm of tonsil,4312326,"Neoplasm, malignant (primary)",86049000,Has asso morph
31509,Primary malignant neoplasm of tonsil,37153816,Malignant neoplasm,1240414004,Has asso morph
31509,Primary malignant neoplasm of tonsil,4327174,Palatine tonsillar structure,75573002,Has finding site
31509,Primary malignant neoplasm of tonsil,37157802,Primary malignant neoplastic proliferation,1234914003,Has pathology
31386,Congenital absence of salivary gland,4302931,Absence,418560003,Has asso morph
31386,Congenital absence of salivary gland,4294042,Salivary gland structure,385294005,Has finding site
31386,Congenital absence of salivary gland,4116830,Congenital,255399007,Has occurrence
31386,Congenital absence of salivary gland,4204670,Pathological developmental process,308490002,Has pathology
31602,Disorder of the larynx,4262229,Laryngeal structure,4596009,Has finding site
31609,Abscess of salivary gland,4195605,Abscess morphology,44132006,Has asso morph
31609,Abscess of salivary gland,4294042,Salivary gland structure,385294005,Has finding site
31335,Acute peptic ulcer with hemorrhage but without obstruction,4164431,Acute bleeding ulcer,45771005,Has asso morph
31335,Acute peptic ulcer with hemorrhage but without obstruction,4179955,Hemorrhage,50960005,Has asso morph
31335,Acute peptic ulcer with hemorrhage but without obstruction,4271189,Upper gastrointestinal tract structure,62834003,Has finding site
31335,Acute peptic ulcer with hemorrhage but without obstruction,4312510,Sudden onset AND/OR short duration,424124008,Has clinical course
31597,Acute laryngotracheitis,4163835,Acute inflammation,4532008,Has asso morph
31597,Acute laryngotracheitis,4262229,Laryngeal structure,4596009,Has finding site
31597,Acute laryngotracheitis,4195956,Tracheal structure,44567001,Has finding site
31597,Acute laryngotracheitis,4312510,Sudden onset AND/OR short duration,424124008,Has clinical course
31598,Hypertrophy of tonsils AND adenoids,4210465,Hypertrophy,56246009,Has asso morph
31598,Hypertrophy of tonsils AND adenoids,4327174,Palatine tonsillar structure,75573002,Has finding site
31598,Hypertrophy of tonsils AND adenoids,4184153,Adenoidal structure,55940004,Has finding site
31610,Disorder of esophagus,4140098,Esophageal structure,32849002,Has finding site
31668,Acquired deformity of neck,4263843,Deformity,6081001,Has asso morph
31668,Acquired deformity of neck,4260843,Neck structure,45048000,Has finding site
31668,Acquired deformity of neck,35624340,Period of life between birth and death,767023003,Has occurrence
31317,Dysphagia,4128522,Ability to swallow,288935001,Has interprets
31317,Dysphagia,4153379,Difficulty,371157007,Has interpretation
31601,Acute laryngotracheitis with obstruction,4163835,Acute inflammation,4532008,Has asso morph
31601,Acute laryngotracheitis with obstruction,4093906,Obstruction,26036001,Has asso morph
31601,Acute laryngotracheitis with obstruction,4262229,Laryngeal structure,4596009,Has finding site
31601,Acute laryngotracheitis with obstruction,4195956,Tracheal structure,44567001,Has finding site
31601,Acute laryngotracheitis with obstruction,4312510,Sudden onset AND/OR short duration,424124008,Has clinical course
31821,Disorder of endocrine system,4034504,Structure of endocrine system,113331007,Has finding site
31967,Nausea,4271189,Upper gastrointestinal tract structure,62834003,Has finding site
72332,Serous labyrinthitis,4053015,Inflammation,23583003,Has asso morph
72332,Serous labyrinthitis,4121004,Labyrinth structure,302462009,Has finding site
72245,Chlamydial infection of lower genitourinary tract,4241088,Lower genitourinary tract structure,59183004,Has finding site
72245,Chlamydial infection of lower genitourinary tract,4037323,Chlamydia,16241000,Has causative agent
72245,Chlamydial infection of lower genitourinary tract,40480911,Infectious process,441862004,Has pathology
72377,Shoulder girdle dystocia,37160330,Maternal intrapartum period,1156682000,Has occurrence
72403,Hemarthrosis of the ankle and/or foot,4179955,Hemorrhage,50960005,Has asso morph
72403,Hemarthrosis of the ankle and/or foot,4194884,Joint structure of ankle and/or foot,312816002,Has finding site
72398,Arthropathy in Behcet's syndrome,4053015,Inflammation,23583003,Has asso morph
72398,Arthropathy in Behcet's syndrome,4253008,Inflammatory morphology,409774005,Has asso morph
72398,Arthropathy in Behcet's syndrome,4214466,Joint structure,39352004,Has finding site
72398,Arthropathy in Behcet's syndrome,436642,Behcet's syndrome,,Finding asso with
31884,Acquired diverticulum of esophagus,4053916,Single diverticulum,125284007,Has asso morph
31884,Acquired diverticulum of esophagus,4140098,Esophageal structure,32849002,Has finding site
31884,Acquired diverticulum of esophagus,35624340,Period of life between birth and death,767023003,Has occurrence
72399,Arthropathy in Behcet's syndrome of multiple sites,4053015,Inflammation,23583003,Has asso morph
72399,Arthropathy in Behcet's syndrome of multiple sites,4253008,Inflammatory morphology,409774005,Has asso morph
72399,Arthropathy in Behcet's syndrome of multiple sites,36695780,Joint structure of multiple body sites,773190007,Has finding site
72399,Arthropathy in Behcet's syndrome of multiple sites,436642,Behcet's syndrome,,Finding asso with
72390,Obstetric non-purulent mastitis,4027360,Nonsuppurative inflammation,12794006,Has asso morph
72390,Obstetric non-purulent mastitis,4298444,Breast structure,76752008,Has finding site
72390,Obstetric non-purulent mastitis,4112266,Maternal postpartum,255410009,Has occurrence
72404,Joint stiffness,37219112,Structure of joint region,785818007,Has finding site
72404,Joint stiffness,4264818,Range of joint movement,364564000,Has interprets
72404,Joint stiffness,4083207,Below reference range,281300000,Has interpretation
72401,Kashin-Bek disease,4030637,Degenerative abnormality,107669003,Has asso morph
72401,Kashin-Bek disease,4154333,Bone structure,272673000,Has finding site
72401,Kashin-Bek disease,4164803,Structure of articular cartilage,41052006,Has finding site
72405,Osteoarthritis of shoulder region,4030637,Degenerative abnormality,107669003,Has asso morph
72405,Osteoarthritis of shoulder region,4140663,Degeneration,33359002,Has asso morph
72405,Osteoarthritis of shoulder region,4151929,Joint structure of shoulder region,31398001,Has finding site
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,4053015,Inflammation,23583003,Has asso morph
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,4253008,Inflammatory morphology,409774005,Has asso morph
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,4090445,Joint structure of pelvis or upper leg,280438006,Has finding site
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,441793,Infection caused by Cestoda and/or Trematoda and/or Phylum Nemata,,Finding asso with
72407,Effusion of joint of shoulder region,4215818,Effusion,41699000,Has asso morph
72407,Effusion of joint of shoulder region,4151929,Joint structure of shoulder region,31398001,Has finding site
72413,Nontraumatic rupture of muscle,4053606,Nontraumatic rupture,125672000,Has asso morph
72413,Nontraumatic rupture of muscle,4325458,Muscle structure,71616004,Has finding site
72415,Synovial plica,4275262,Synovial membrane,64331004,Has finding site
72421,Solitary bone cyst,4013214,Unicameral bone cyst,112643007,Has asso morph
72421,Solitary bone cyst,4154333,Bone structure,272673000,Has finding site
72410,Infection of bone,4154333,Bone structure,272673000,Has finding site
72410,Infection of bone,40480911,Infectious process,441862004,Has pathology
72418,Scoliosis deformity of spine,4136505,Lateral abnormal curvature,31739005,Has asso morph
72418,Scoliosis deformity of spine,4128342,Musculoskeletal structure of spine,289959001,Has finding site
72434,Congenital hydrocele,4298084,Hydrocele,386152007,Has asso morph
72434,Congenital hydrocele,4066714,Scrotal structure,20233005,Has finding site
72434,Congenital hydrocele,4116830,Congenital,255399007,Has occurrence
72434,Congenital hydrocele,4204670,Pathological developmental process,308490002,Has pathology
72459,Closed fracture of two ribs,36675156,Closed fracture of multiple bones,771486008,Has asso morph
72459,Closed fracture of two ribs,4011851,Bone structure of rib,113197003,Has finding site
72468,Open dislocation of jaw,4194530,Open dislocation,7906001,Has asso morph
72468,Open dislocation of jaw,4202366,Temporomandibular joint structure,53620006,Has finding site
72469,Closed traumatic dislocation of joint of shoulder region,4175294,Closed dislocation,50399007,Has asso morph
72469,Closed traumatic dislocation of joint of shoulder region,4151929,Joint structure of shoulder region,31398001,Has finding site
72460,Open fracture of seven ribs,4249880,"Fracture, multiple, compound",73732002,Has asso morph
72460,Open fracture of seven ribs,4011851,Bone structure of rib,113197003,Has finding site
72486,Blister of elbow without infection,4144955,Blister,339008,Has asso morph
72486,Blister of elbow without infection,4254263,Skin structure of elbow,74757004,Has finding site
72487,Crushing injury of foot,4060415,Crushing injury (morphology),19921004,Has asso morph
72487,Crushing injury of foot,4211098,Foot structure,56459004,Has finding site
72465,Closed fracture of one or more phalanges of hand,4049776,"Fracture, closed",20946005,Has asso morph
72465,Closed fracture of one or more phalanges of hand,4152304,Bone structure of phalanx of finger,282823009,Has finding site
72516,Burn of knee,4168004,Burn injury,48333001,Has asso morph
72516,Burn of knee,4217806,Knee region structure,72696002,Has finding site
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,4297172,Disruption,76555007,Has asso morph
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,4239029,Structure of ligament of knee joint,68010000,Has finding site
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,4236661,Chronic,90734009,Has clinical course
72578,Neoplasm of uncertain behavior of breast,4313421,Neoplasm of uncertain behavior,86251006,Has asso morph
72578,Neoplasm of uncertain behavior of breast,4298444,Breast structure,76752008,Has finding site
72618,Disorder of skeletal muscle,4133963,Skeletal muscle structure,127954009,Has finding site
72521,Immersion foot,4242243,Cold injury,38045000,Has asso morph
72521,Immersion foot,4211098,Foot structure,56459004,Has finding site
72521,Immersion foot,4036190,Water,11713004,Has causative agent
72562,Gonococcal spondylitis,4053015,Inflammation,23583003,Has asso morph
72562,Gonococcal spondylitis,4253008,Inflammatory morphology,409774005,Has asso morph
72562,Gonococcal spondylitis,4198252,Bone structure of spine,51282000,Has finding site
72562,Gonococcal spondylitis,4285582,Neisseria gonorrhoeae,68704007,Has causative agent
72562,Gonococcal spondylitis,40480911,Infectious process,441862004,Has pathology
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",4312326,"Neoplasm, malignant (primary)",86049000,Has asso morph
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",37153816,Malignant neoplasm,1240414004,Has asso morph
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",4041251,Bone structure of pelvis,118645006,Has finding site
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",44783588,Structure of sacral vertebral column,699698002,Has finding site
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",4276201,Bone structure of coccyx,64688005,Has finding site
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",37157802,Primary malignant neoplastic proliferation,1234914003,Has pathology
72576,Benign neoplasm of breast,4305589,"Neoplasm, benign",3898006,Has asso morph
72576,Benign neoplasm of breast,4298444,Breast structure,76752008,Has finding site
72709,Crystal arthropathy of multiple sites,4014361,Deposition of crystalline material,103629003,Has asso morph
72709,Crystal arthropathy of multiple sites,36695780,Joint structure of multiple body sites,773190007,Has finding site
72712,Synovial cyst,40288199,Synovial cyst,123250005,Has asso morph
72712,Synovial cyst,4230317,Structure of synovial membrane of joint,88928006,Has finding site
72711,Shoulder stiff,4310972,Glenohumeral joint structure,85537004,Has finding site
72711,Shoulder stiff,4185647,Shoulder joint - range of movement,298773006,Has interprets
72711,Shoulder stiff,4083207,Below reference range,281300000,Has interpretation
72715,Exostosis,4215424,External hyperostosis,80400009,Has asso morph
72715,Exostosis,4154333,Bone structure,272673000,Has finding site
72708,Traumatic arthropathy of the shoulder region,4151929,Joint structure of shoulder region,31398001,Has finding site
72737,Microcalcifications of the breast,4132707,Microcalcification,12747003,Has asso morph
72737,Microcalcifications of the breast,4298444,Breast structure,76752008,Has finding site
72745,Open dislocation of elbow,4194530,Open dislocation,7906001,Has asso morph
72745,Open dislocation of elbow,4061414,Elbow joint structure,16953009,Has finding site
72717,Postoperative heterotopic calcification,4112703,Pathologic calcification,18115005,Has asso morph
72926,Labyrinthine fistula,4043006,Fistula,118622000,Has asso morph
72926,Labyrinthine fistula,4121004,Labyrinth structure,302462009,Has finding site
72693,Poor fetal growth affecting management,4245750,Growth retardation,59576002,Has asso morph
72693,Poor fetal growth affecting management,4207963,Fetal structure,55460000,Has finding site
72693,Poor fetal growth affecting management,4091644,Fetus size,249050003,Has interprets
72693,Poor fetal growth affecting management,4083207,Below reference range,281300000,Has interpretation
72693,Poor fetal growth affecting management,4121979,Fetal period,303112003,Has occurrence
72693,Poor fetal growth affecting management,4204670,Pathological developmental process,308490002,Has pathology
72726,Light-for-dates with signs of fetal malnutrition,4264825,Birth weight,364589006,Has interprets
72726,Light-for-dates with signs of fetal malnutrition,4155143,Abnormally low,371880002,Has interpretation
72726,Light-for-dates with signs of fetal malnutrition,4155796,Perinatal period,371578004,Has occurrence
72726,Light-for-dates with signs of fetal malnutrition,4123429,Early neonatal period,303114002,Has occurrence
72817,Tuberculosis of urinary organs,4269928,Granulomatous inflammation,6266001,Has asso morph
72817,Tuberculosis of urinary organs,4047487,Urinary system structure,122489005,Has finding site
72817,Tuberculosis of urinary organs,4035081,Mycobacterium tuberculosis complex,113858008,Has causative agent
72817,Tuberculosis of urinary organs,40480911,Infectious process,441862004,Has pathology
72986,Disorder of lower leg,4107527,Lower leg structure,30021000,Has finding site
72857,Late effect of rickets,4214470,Osteoid tissue,39365008,Has finding site
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4053015,Inflammation,23583003,Has asso morph
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4253008,Inflammatory morphology,409774005,Has asso morph
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4194884,Joint structure of ankle and/or foot,312816002,Has finding site
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,441793,Infection caused by Cestoda and/or Trematoda and/or Phylum Nemata,,Finding asso with
72990,Localized osteoarthrosis uncertain if primary OR secondary,4030637,Degenerative abnormality,107669003,Has asso morph
72990,Localized osteoarthrosis uncertain if primary OR secondary,4140663,Degeneration,33359002,Has asso morph
72990,Localized osteoarthrosis uncertain if primary OR secondary,4214466,Joint structure,39352004,Has finding site
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,4253008,Inflammatory morphology,409774005,Has asso morph
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,4053015,Inflammation,23583003,Has asso morph
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,4151929,Joint structure of shoulder region,31398001,Has finding site
72988,Pyogenic arthritis of hand,4164958,Suppurative inflammation,41034006,Has asso morph
72988,Pyogenic arthritis of hand,4222144,Structure of joint of hand,40238009,Has finding site
72988,Pyogenic arthritis of hand,40480911,Infectious process,441862004,Has pathology
72993,"Localized, primary osteoarthritis",4140663,Degeneration,33359002,Has asso morph
72993,"Localized, primary osteoarthritis",4030637,Degenerative abnormality,107669003,Has asso morph
72993,"Localized, primary osteoarthritis",4214466,Joint structure,39352004,Has finding site
72992,Allergic arthritis,4053015,Inflammation,23583003,Has asso morph
72992,Allergic arthritis,4253008,Inflammatory morphology,409774005,Has asso morph
72992,Allergic arthritis,4214466,Joint structure,39352004,Has finding site
72992,Allergic arthritis,35626103,Non-immunoglobulin E-mediated allergic process,769261000,Has pathology
72991,Traumatic arthropathy of multiple sites,36695780,Joint structure of multiple body sites,773190007,Has finding site
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",4194884,Joint structure of ankle and/or foot,312816002,Has finding site
72995,Contracture of joint of hand,4237281,Contracture,57048009,Has asso morph
72995,Contracture of joint of hand,37219133,Structure of hand joint region,786074005,Has finding site
72995,Contracture of joint of hand,37206793,Hand joint range of movement,786985009,Has interprets
72995,Contracture of joint of hand,4053347,Decreased,1250004,Has interpretation
73012,Lordosis deformity of spine,4246304,Anteroposterior abnormal curvature,61051007,Has asso morph
73012,Lordosis deformity of spine,4128342,Musculoskeletal structure of spine,289959001,Has finding site
73017,Congenital anomaly of toe,4175951,Morphologically abnormal structure,49755003,Has asso morph
73017,Congenital anomaly of toe,4106395,Toe structure,29707007,Has finding site
73017,Congenital anomaly of toe,4116830,Congenital,255399007,Has occurrence
73017,Congenital anomaly of toe,4204670,Pathological developmental process,308490002,Has pathology
73001,Myositis,4053015,Inflammation,23583003,Has asso morph
73001,Myositis,4253008,Inflammatory morphology,409774005,Has asso morph
73001,Myositis,4133963,Skeletal muscle structure,127954009,Has finding site
73019,Breast engorgement in newborn,4146766,Hyperemia,30098003,Has asso morph
73019,Breast engorgement in newborn,4298444,Breast structure,76752008,Has finding site
73019,Breast engorgement in newborn,4114528,Neonatal,255407002,Has occurrence
73008,Enthesopathy,4257828,Structure of enthesis,410054009,Has finding site
73036,Closed fracture of olecranon process of ulna,4049776,"Fracture, closed",20946005,Has asso morph
73036,Closed fracture of olecranon process of ulna,4161175,Structure of olecranon,371504003,Has finding site
72994,Jaccoud's syndrome,4253009,Chronic inflammatory morphology,409777003,Has asso morph
72994,Jaccoud's syndrome,4253008,Inflammatory morphology,409774005,Has asso morph
72994,Jaccoud's syndrome,4222144,Structure of joint of hand,40238009,Has finding site
72997,Articular cartilage disorder of upper arm,4193455,Articular cartilage of upper limb,312558006,Has finding site
73041,Closed fracture of five ribs,36675156,Closed fracture of multiple bones,771486008,Has asso morph
73041,Closed fracture of five ribs,4011851,Bone structure of rib,113197003,Has finding site
73021,Bilateral congenital dislocation of hip,4227147,Dislocation,87642003,Has asso morph
73021,Bilateral congenital dislocation of hip,4029778,Congenital dislocation,13810000,Has asso morph
73021,Bilateral congenital dislocation of hip,4176631,Left hip joint structure,362907004,Has finding site
73021,Bilateral congenital dislocation of hip,4177897,Right hip joint structure,362908009,Has finding site
73021,Bilateral congenital dislocation of hip,4116830,Congenital,255399007,Has occurrence
73021,Bilateral congenital dislocation of hip,4204670,Pathological developmental process,308490002,Has pathology
73045,Sprain of hand,4298490,Sprain,384709000,Has asso morph
73045,Sprain of hand,4048233,Structure of ligament of hand,123858009,Has finding site
73072,Crushing injury of upper arm,4060415,Crushing injury (morphology),19921004,Has asso morph
