cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"Type 1 diabetes mellitus, presymptomatic, Stage 2",1102630,"Type 1 diabetes mellitus, presymptomatic, Stage 2",37174265,Diabetes mellitus type 1 stage 2,"The source term specifies type 1 diabetes mellitus in presymptomatic Stage 2. SNOMED concept 37174265 ""Diabetes mellitus type 1 stage 2"" exactly captures the stage 2 classification of type 1 diabetes, which by definition is presymptomatic. It preserves the required specificity (stage 2) without adding or omitting clinical details. Other candidates are either missing the stage information or pertain to different contexts, so 37174265 is the single exact match."
Hypoglycemia level 2,1102633,Hypoglycemia level 2,-1,no_match,"The source term specifies a severity category (level 2 hypoglycemia, i.e., clinically significant hypoglycemia with glucose <54 mg/dL). None of the candidate concepts include this level-specific detail—they describe hypoglycemia in general, its causes, or related findings without indicating the level 2 severity threshold. Selecting any of them would either broaden or mis-specify the condition, violating the specificity requirement."
Hypoglycemia level 3,1102634,Hypoglycemia level 3,4268413,Hypoglycemic attack requiring 3rd party assistance,"In current clinical guidelines, 'Hypoglycemia level 3' denotes a severe hypoglycemic episode that impairs cognitive or physical functioning and necessitates external (third-party) assistance for recovery. The SNOMED concept 4268413 ""Hypoglycemic attack requiring 3rd party assistance"" captures exactly this definition—hypoglycemia so severe that help is needed—without adding or omitting clinical details. Other candidates are either broader (e.g., plain 'Hypoglycemia') or represent different severities or contexts (e.g., 'Hypoglycemic shock'). Therefore 4268413 is the single exact match."
Disorders of citrate metabolism,1102643,Disorders of citrate metabolism,-1,no_match,"None of the candidate concepts represents the general category of disorders involving citrate metabolism. Options are either broader metabolic disorder categories (e.g., 'Disorder of organic acid metabolism') or single, more specific enzyme deficiencies (e.g., 'Deficiency of citrate(si)-synthase'). Therefore, no exact clinical equivalent is present in the candidate list."
Obesity due to disruption of MC4R pathway,1102646,Obesity due to disruption of MC4R pathway,37397209,Obesity due to melanocortin 4 receptor deficiency,"The source term describes obesity that specifically arises from dysfunction in the melanocortin-4 receptor (MC4R) signaling pathway. The SNOMED concept 37397209 ""Obesity due to melanocortin 4 receptor deficiency"" captures the identical clinical scenario—obesity caused by loss or dysfunction of the MC4R itself, which is the defining disruption of the MC4R pathway. No additional anatomic site, severity, timing, or other etiologic detail is added, and no key element is omitted. Therefore, this concept is a precise, clinically equivalent match."
"Bulimia nervosa, mild",1102660,"Bulimia nervosa, mild",-1,no_match,"No candidate represents the specific severity qualifier ""mild"" that is part of the source term. The closest option, concept_id 438407 (""Bulimia nervosa""), is more general and omits the required severity detail, violating the rule against broadening. Other candidates describe different subtypes (purging/non-purging), remission states, or completely different eating disorders. Therefore, no exact clinical equivalent is available among the provided concepts."
Pica in adults,1102671,Pica in adults,-1,no_match,"The source term specifies occurrence of pica in adults. None of the candidate concepts capture this age specificity. ""Pica"" (Concept 437839) is broader, encompassing all ages, while ""Pica of infancy and childhood"" (Concept 4100683) is limited to children. Therefore, no exact equivalent concept is available among the provided targets."
Rumination disorder in adults,1102672,Rumination disorder in adults,36716719,Adult rumination syndrome of ingested food,"The concept ""Adult rumination syndrome of ingested food"" explicitly denotes the same clinical entity—rumination disorder occurring in adults. It preserves the adult age specification present in the source term and adds no extraneous specificity beyond the standard description of the disorder. All other candidate concepts are either broader (e.g., ""Rumination disorder"" without age qualifier) or describe different age groups or phenomena, so they do not meet the specificity requirement."
KCNQ2-related epilepsy,1102673,KCNQ2-related epilepsy,-1,no_match,"The closest candidate (concept_id 36680579, ""KCNQ2-related epileptic encephalopathy"") represents a specific severe neonatal/encephalopathic subset of KCNQ2-related epilepsies. The source term refers more broadly to any epilepsy caused by KCNQ2 variants, which also includes milder phenotypes such as self-limited familial neonatal epilepsy. Selecting the encephalopathy concept would over-specify the clinical scope, violating the requirement to maintain the same level of generality. No other candidate maintains both specificity and generality, so no exact match exists among the provided concepts."
Fat embolism of pulmonary artery with acute cor pulmonale,1102682,Fat embolism of pulmonary artery with acute cor pulmonale,-1,no_match,"The source term requires both (1) a pulmonary fat embolism and (2) concurrent acute cor pulmonale. None of the candidate concepts explicitly include both elements together. The closest options either omit the fat-embolism etiology (e.g., saddle embolus with cor pulmonale) or omit the acute cor pulmonale component (e.g., pulmonary fat embolism alone). Therefore, no exact clinical equivalent exists among the provided target concepts."
Fat embolism of pulmonary artery without acute cor pulmonale,1102684,Fat embolism of pulmonary artery without acute cor pulmonale,-1,no_match,"The source term specifies a pulmonary (fat) embolism explicitly WITHOUT acute cor pulmonale. None of the candidate concepts capture this exclusion. The closest candidate, 4119608 (Pulmonary fat embolism), does not specify the absence of acute cor pulmonale and therefore is clinically broader than the source term, violating the requirement to preserve all key details. No exact equivalent concept is available among the candidates."
"Anal fistula, complex",1102702,"Anal fistula, complex",-1,no_match,"The source term specifies a complex anal fistula, indicating a particular severity/complexity category. None of the candidate concepts explicitly represent the ‘complex’ nature: 
- Generic options such as “Anal fistula” or “Anorectal fistula” lose the key qualifier and are therefore too general (rule 1).
- Subtype options like “High anal fistula” or “Transsphincteric anal fistula” only cover certain forms of complex fistula and therefore add anatomic detail not required by the source (rule 2).
- Several candidates describe procedures rather than the disorder itself, or unrelated morphologic classes.
Because no candidate maintains the exact specificity of “complex” without adding or omitting information, no exact clinical equivalent is present."
"Rectal fistula, simple",1102708,"Rectal fistula, simple",-1,no_match,"The only disorder-level target that includes the rectum is “Rectal fistula” (4213865). That concept does not specify the qualifier “simple,” therefore it covers both simple and complex fistulas and is broader than the source term. All other disorder concepts either involve different anatomic locations (anal, perianal, anorectal) or represent procedures, observations, or morphologic descriptors. Because no target maintains the required specificity of a simple rectal fistula, an exact clinical equivalent is not available among the candidates."
"Rectal fistula, simple",1102712,"Rectal fistula, simple, unspecified",-1,no_match,"None of the candidate concepts specifies the qualifier ""simple."" The closest option, ""Rectal fistula"" (concept_id 4213865), is broader because it includes both simple and complex rectal fistulas, thereby losing the required specificity. According to the rules, selecting a more general concept is not permitted, so no exact match is available."
"Anorectal fistula, simple, recurrent",1102721,"Anorectal fistula, simple, recurrent",-1,no_match,"All available candidate concepts either (a) describe a generic anorectal fistula without the qualifiers of being simple and recurrent, or (b) refer to recurrence without specifying anorectal location. Therefore none of the targets maintains all key clinical details (location, simplicity, and recurrence) required for an exact equivalent."
"synovitis and tenosynovitis, shoulder",1102746,"Unspecified synovitis and tenosynovitis, shoulder",4118007,Synovitis/tenosynovitis - shoulder,"Concept 4118007 ""Synovitis/tenosynovitis - shoulder"" exactly captures both conditions (synovitis and tenosynovitis) and specifies the same anatomical site (shoulder) as the source term, matching its clinical meaning without adding or omitting details. All other candidates are either more general (e.g., no site specified) or do not include both conditions, so they fail the specificity/coverage requirements."
congenital malformations of aortic and mitral valves,1102778,Other congenital malformations of aortic and mitral valves,-1,no_match,"None of the candidate concepts simultaneously specify congenital malformations involving BOTH the aortic and mitral valves. Each candidate is either limited to a single valve (aortic OR mitral) or is broader, covering all heart valves or different valve groups. According to the rules, selecting a more general or a single-valve concept would lose essential specificity, so no exact match exists among the provided targets."
Progesterone receptor positive,1102831,Progesterone receptor positive status,4219694,Progesterone receptor positive tumor,"The source term indicates a clinical finding of progesterone receptor positivity, which in routine clinical usage refers to neoplastic tissue that expresses progesterone receptors (i.e., a progesterone-receptor-positive tumor). The candidate concept 4219694 ""Progesterone receptor positive tumor"" captures this meaning exactly: it represents a tumor characterized by the presence (positivity) of progesterone receptors, without adding extra details (such as specific site or assay method) that are not stated in the source term. Other candidates are procedures, measurements, substances, or specify particular sites or negative status, and therefore do not match the source term’s intended clinical finding. Hence, concept 4219694 is the exact equivalent."
Progesterone receptor negative,1102832,Progesterone receptor negative status,-1,no_match,"None of the candidate concepts express simply the negative progesterone-receptor status without adding extra clinical context. The closest candidate (concept_id 4261934 “Progesterone receptor negative neoplasm”) specifies that the finding applies to a neoplasm, which is an additional detail not present in the source term and therefore over-specifies the clinical statement. Other candidates either describe the assay itself or indicate positivity, not negativity. Consequently, no exact equivalent concept is available among the provided targets."
Hormone receptor positive,1102837,Hormone receptor positive,4167363,Hormone receptor positive tumor,"The term “Hormone receptor positive” is almost universally used in oncology to denote a neoplasm that expresses hormone receptors. The SNOMED concept 4167363 ""Hormone receptor positive tumor"" captures exactly this clinical meaning—i.e., a tumor (neoplasm) that tests positive for hormone receptors—without adding extra specificity (e.g., tumor site, receptor subtype, stage). Other candidates were either non-directional status concepts (include both positive and negative), specified receptor subtypes (estrogen/progesterone only), or represented procedures/measurements rather than the clinical finding itself. Therefore, 4167363 is the single best equivalent concept."
Hormone receptor negative,1102840,Hormone receptor negative,4230400,Hormone receptor negative neoplasm,"The source term refers to the absence of hormone receptors (e.g., ER, PR) in a tumor. SNOMED concept 4230400 ""Hormone receptor negative neoplasm"" exactly captures this clinical meaning without adding or omitting details. Other candidates are either opposite in meaning (hormone-receptor positive), limited to a specific receptor (estrogen or progesterone only), or represent assays/observables rather than the disorder itself. Therefore 4230400 is the single exact equivalent."
"Sezary disease, in remission",1102880,"Sezary disease, in remission",-1,no_match,"None of the candidate concepts capture both required elements: the specific diagnosis of Sézary disease AND its clinical state of remission. Concepts such as 'Sézary's disease' lack the remission qualifier (more general), while those that include remission (e.g., 'Malignant lymphoma in remission') are not specific to Sézary disease (more general). Therefore, no exact clinical equivalent is present among the provided targets."
Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,1102895,Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,4082627,Enteropathy-associated T-cell lymphoma,"Concept 4082627 ""Enteropathy-associated T-cell lymphoma"" has synonyms that exactly include ""Enteropathy-type T-cell lymphoma"" and ""Enteropathy type (intestinal) T-cell lymphoma,"" matching the disease subtype in the source term. SNOMED’s base disorder concept inherently denotes active disease; separate 'in remission' concepts exist when remission is present. Therefore the absence of a remission qualifier in 4082627 correctly represents ""not having achieved remission."" It preserves both the specific histologic subtype (enteropathy-associated intestinal T-cell lymphoma) and the disease status (active), making it an exact clinical equivalent. All other candidates are either too general, a different subtype, or describe remission/refractory status, so they are unsuitable."
Angioimmunoblastic T-cell lymphoma not having achieved remission,1102901,Angioimmunoblastic T-cell lymphoma not having achieved remission,-1,no_match,"The source term specifies Angioimmunoblastic T-cell lymphoma with the explicit clinical status of ""not having achieved remission."" None of the candidate concepts encode this disease status. The closest candidate (concept_id 4184976, ""Angioimmunoblastic T-cell lymphoma"") omits the remission detail, making it more general than the source and violating the specificity rule. All other candidates are either different lymphoma subtypes or generic neoplasm status terms without the specified histology. Therefore, no exact clinical equivalent is available among the provided concepts."
"Angioimmunoblastic T-cell lymphoma, in remission",1102902,"Angioimmunoblastic T-cell lymphoma, in remission",-1,no_match,"The source term specifies both a particular lymphoma subtype (angioimmunoblastic T-cell lymphoma) AND the clinical state of being in remission. None of the candidate concepts jointly include these two required elements. The closest histology-specific concept (concept_id 4184976) lacks remission status, while all remission-qualified concepts refer to different or more general lymphoma types (e.g., Hodgkin’s or non-Hodgkin’s lymphoma). Therefore no candidate is an exact clinical equivalent."
Waldenstrom macroglobulinemia not having achieved remission,1102905,Waldenstrom macroglobulinemia not having achieved remission,4098597,Waldenström macroglobulinemia,"In SNOMED CT, the concept 4098597 ""Waldenström macroglobulinemia (disorder)"" represents the presence of this malignant lymphoplasmacytic lymphoma as an active condition. Separate descendant concepts (e.g., ""Waldenström macroglobulinemia in remission"") exist for the remission state, indicating that the parent concept explicitly covers cases that are NOT in remission. Thus 4098597 exactly captures ""Waldenström macroglobulinemia not having achieved remission"" without being broader (it excludes remission) or more specific (does not add stage or refractory status). Other candidates are either too general (e.g., generic ""Disorder in remission""), too specific (recurrent or refractory disease), different semantic type (morphology), or entirely different neoplasms. Therefore 4098597 is the single appropriate match."
Heavy chain disease not having achieved remission,1102907,Heavy chain disease not having achieved remission,4288751,Heavy chain disease,"The source term describes active (not in remission) heavy chain disease. SNOMED concept 4288751 ""Heavy chain disease"" represents the clinical disorder itself; in SNOMED, remission status is modeled with separate concepts when available, so the base disorder concept corresponds to cases that have not achieved remission. It is neither broader (still specifies heavy chain disease) nor more specific (does not add subtype details). No other candidate provides the required match. Hence this is the exact clinical equivalent."
"Heavy chain disease, in remission",1102908,"Heavy chain disease, in remission",-1,no_match,"None of the candidate concepts capture both required elements: (1) the specific condition 'Heavy chain disease' and (2) its remission status. Concepts representing 'Heavy chain disease' lack the remission qualifier, while concepts that include 'in remission' are broader neoplasms and not specific to heavy-chain disease. Therefore, no exact clinical equivalent is present among the targets."
malignant immunoproliferative diseases not having achieved remission,1102913,Other malignant immunoproliferative diseases not having achieved remission,4003834,Malignant immunoproliferative disease (clinical),"The source term describes an active (not in remission) malignant immunoproliferative disease. SNOMED concept 4003834 ""Malignant immunoproliferative disease (clinical)"" represents exactly that condition—malignant immunoproliferative disease in its active state—and does not add or omit any specific subtype, site, or remission qualifier. Other candidates are either broader (e.g., Immunoproliferative neoplasm), explicitly in remission, or represent specific subtypes, so they are not exact matches. Therefore 4003834 is the precise equivalent."
malignant immunoproliferative disease not having achieved remission,1102915,"Malignant immunoproliferative disease, unspecified not having achieved remission",4003834,Malignant immunoproliferative disease (clinical),"The source term describes an active malignant immunoproliferative disease that has NOT achieved remission (i.e., ongoing disease). SNOMED concept 4003834 ""Malignant immunoproliferative disease (clinical)"" represents the same condition without specifying remission, implicitly denoting active disease. It captures both malignancy and the immunoproliferative nature, and does not add extra specificity or mismatch the remission status. Other candidates are either more general (e.g., 441523 ""Immunoproliferative neoplasm"" lacks the malignant qualifier) or contradict the active disease status by indicating remission (e.g., 4142878). Therefore, 4003834 is the exact clinical equivalent."
"Degenerative myopia with retinal detachment, left eye",1326522,"Degenerative myopia with retinal detachment, left eye",-1,no_match,"The source term requires three specific elements: (1) degenerative/high myopia, (2) retinal detachment, and (3) laterality – left eye. None of the candidate concepts contains all three components. The closest candidate, ""Retinal detachment due to high myopia"" (concept_id 37164746), includes both degenerative/high myopia and retinal detachment but lacks the required left-eye specification, making it more general than the source. Other candidates either omit the retinal detachment component or the degenerative-myopia component or the laterality. Therefore, no exact standard concept match is present among the provided candidates."
Acute right heart failure,1326602,Acute right heart failure,4233424,Acute right-sided heart failure,"The candidate concept ""Acute right-sided heart failure"" (concept_id 4233424) conveys the same clinical condition as the source term—acute failure of the right side of the heart. It matches in acuity (acute) and laterality (right-sided) without adding or omitting clinical details. Other candidates are either more specific (e.g., congestive or acute-on-chronic) or refer to different or broader conditions (left-sided or generalized heart failure). Therefore, concept_id 4233424 is the exact clinical equivalent."
Lump in the left breast,1326717,"Unspecified lump in the left breast, unspecified quadrant",760895,Mass of left breast,"Concept 760895 ""Mass of left breast"" explicitly represents a lump/mass located in the left breast, matching the side and clinical nature of the source term without adding or omitting details. Other candidates are either overly general (e.g., ""Breast lump"") or add quadrant-level specificity not present in the source term, so 760895 is the exact equivalent."
Right tubal pregnancy without intrauterine pregnancy,1326728,Right tubal pregnancy without intrauterine pregnancy,37209658,Pregnancy of right fallopian tube,"The source specifies an ectopic pregnancy located in the right fallopian tube with no concurrent intra-uterine gestation. Concept 37209658 ""Pregnancy of right fallopian tube"" represents exactly a right-sided tubal (ectopic) pregnancy, implicitly excluding an intra-uterine pregnancy. It preserves laterality and location details without adding or omitting clinical information, meeting specificity and generality requirements."
Plasma cell sarcoma,1402682,Plasma cell sarcoma (machine translation),4216139,Plasmacytoma,"The term “plasma cell sarcoma” is an older/alternative designation for a malignant solitary proliferation of plasma cells, which in current nosology is called a plasmacytoma. Concept 4216139 (Plasmacytoma – disorder) represents exactly this condition without adding or omitting clinical detail. Other candidates are either too specific (e.g., extramedullary plasmacytoma) or broader (e.g., plasma cell neoplasm, multiple myeloma). Therefore, concept 4216139 is the precise clinical equivalent."
bronchiectasis due to tuberculosis,1403158,"Tuberculosis, bronchiectasis, pathology () (machine translation)",257775,Tuberculous bronchiectasis,"The source term describes bronchiectasis that is specifically caused by tuberculosis. Concept 257775, ""Tuberculous bronchiectasis,"" precisely represents bronchiectasis resulting from (or secondary to) tuberculosis, with synonyms including ""Post-tuberculous bronchiectasis."" It perfectly preserves the etiologic detail (tuberculosis) and the condition (bronchiectasis) without adding or omitting clinical information. All other candidate concepts are either more general (e.g., ""Bronchiectasis""), focus on active TB infection rather than the sequela (e.g., ""Tuberculosis of bronchus""), or represent different conditions. Therefore, concept 257775 is the sole exact clinical equivalent."
Tuberculous hydronephrosis,1403401,Tuberculous hydronephrosis (machine translation),-1,no_match,"None of the candidate concepts explicitly include hydronephrosis. They describe tuberculosis of various urogenital structures (kidney, ureter, bladder, etc.) or strictures, infections, or other sequelae, but do not capture the key clinical detail of hydronephrosis. Choosing any of them would either broaden the meaning (e.g., Tuberculosis of kidney) or shift it to a different condition (e.g., Tuberculous pyelitis). Therefore, no exact clinical equivalent is present among the candidates."
Diphtheria laryngotracheitis,1403691,Diphtheria laryngotracheitis (machine translation),438680,Laryngeal diphtheria,"Concept 438680 (Laryngeal diphtheria) carries the synonym “Diphtheritic laryngotracheitis,” indicating SNOMED treats infection of the larynx and trachea by Corynebacterium diphtheriae as equivalent to this concept. Other candidates are either broader (e.g., Respiratory diphtheria) or describe different/anatomically incomplete sites (e.g., Tracheobronchial diphtheria). Thus 438680 is the single exact clinical equivalent."
Plasmodium malariae malaria with complications,1405016,Plasmodium malariae malaria with other complications,-1,no_match,"No candidate concept exactly represents Plasmodium malariae malaria with unspecified complications. Options are either too general (e.g., Quartan malaria lacks mention of complications) or too specific/different (e.g., Plasmodium malariae malaria with nephropathy specifies a particular complication; others involve Plasmodium falciparum or different complication types). Therefore, an exact clinical equivalent is not present among the candidates."
Mixed pediculosis and phthiriasis,1405305,Mixed pediculosis and phthiriasis,4148108,Pediculosis and phthirus infections,"The source term describes a combined infestation by Pediculus (pediculosis) and Phthirus (phthiriasis). Target concept 4148108 “Pediculosis and phthirus infections” explicitly encompasses both conditions, preserving the mixed nature and organisms involved. Other candidates are either limited to Pediculus alone (over-narrow) or broader louse infestations (over-broad). Therefore, concept 4148108 is the exact clinical equivalent."
Benign neoplasm of mouth,1407242,Benign neoplasm: Other and unspecified parts of mouth,137813,Benign neoplasm of mouth region,"The target concept ""Benign neoplasm of mouth region"" represents a benign tumor located in the mouth area and is clinically equivalent to the source term. It neither omits nor adds details (stage, site, severity, laterality) beyond what is stated in the source term, and therefore preserves the required specificity without over-specification."
Sacral meningioma,1407758,Sacral meningioma (machine translation),-1,no_match,"The source term specifies a meningioma located in the sacral portion of the spinal canal. None of the candidate concepts capture this exact anatomic specificity without being either broader (e.g., ""Spinal meningioma,"" ""Benign neoplasm of spinal meninges"") or more specific in histology/location (e.g., ""Meningothelial meningioma of cauda equina,"" ""Papillary meningioma of spinal meninges""). Therefore, no candidate is an exact clinical equivalent."
Type 2 diabetes mellitus with peripheral circulatory complications,1409178,"Type 2 diabetes mellitus, with peripheral circulatory complications",443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,"Concept 443729 explicitly represents a peripheral circulatory (vascular) disorder that is a complication of type 2 diabetes mellitus, matching both the diabetes type and the specified peripheral circulatory complication in the source term without adding or omitting clinical detail."
Pituitary abscess,1409378,Pituitary abscess (machine translation),4265209,Abscess of pituitary,"Concept 4265209 ""Abscess of pituitary"" is semantically identical to the source term ""Pituitary abscess,"" referring specifically to an abscess located in the pituitary gland. It matches the exact anatomical site and condition without adding or omitting clinical details, satisfying specificity and avoiding over- or under-specification. No other candidate offers a closer or more precise equivalence."
"Mental and behavioural disorders due to opioid use, harmful use",1410337,"Mental and behavioural disorders due to use of opioids, harmful use",438130,Harmful pattern of use of opioid,"The source term corresponds to ICD-10 category F11.1, which describes a harmful pattern of opioid use causing mental and behavioural disorder, but not meeting dependence criteria. SNOMED concept 438130 ""Harmful pattern of use of opioid"" captures exactly this clinical meaning (ongoing harmful opioid use/abuse without specifying dependence or other complications). It is neither broader (does not include other substances) nor more specific (does not add withdrawal, intoxication, psychosis, dependence, or ‘non-dependent’ qualifiers). Other candidates are either too generic (e.g., disorder caused by psychoactive substance) or introduce additional details (e.g., nondependent, episode, intoxication). Hence 438130 is the exact clinical equivalent."
"Mental and behavioural disorders due to hallucinogen use, acute intoxication",1410448,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication",4173746,Hallucinogen intoxication,"The source term describes acute intoxication resulting from hallucinogen use, which corresponds exactly to the SNOMED concept ""Hallucinogen intoxication"" (concept_id 4173746). This target concept captures the same clinical scenario of an acute mental/behavioral disorder due to hallucinogen use without adding or omitting specific qualifiers (e.g., no additional complications like delirium) and is neither broader nor more specific than the source term."
