source_code,source_term,map_method,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name,is_correct,mapped_rationale,overall_accuracy
1411284,Ventriculitis (machine translation),verbatim,43531591,Ventriculitis of the brain,exactMatch,,,,Ventriculitis,42572744,Ventriculitis,False,,0.8838451268357811
1411661,Migraine with aura [classical migraine],verbatim,381549,Migraine with aura,exactMatch,,,,Migraine with aura,381549,Migraine with aura,True,,0.8838451268357811
1411837,Other cranial nerve disorders in other diseases classified elsewhere,verbatim,441848,Cranial nerve disorder,exactMatch,,,,cranial nerve disorders,441848,Cranial nerve disorder,True,,0.8838451268357811
1413087,Disorders of other visual pathways,verbatim,257293,Disorder of visual pathways,exactMatch,,,,Disorders of visual pathways,257293,Disorder of visual pathways,True,,0.8838451268357811
1421687,Other lower urinary tract calculus,verbatim,197028,Calculus of lower urinary tract,exactMatch,,,,Lower urinary tract calculus,197028,Calculus of lower urinary tract,True,,0.8838451268357811
1421945,Other specified urinary incontinence,verbatim,197672,Urinary incontinence,exactMatch,,,,Urinary incontinence,197672,Urinary incontinence,True,,0.8838451268357811
1423189,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,verbatim,606039,Pre-existing malnutrition-related diabetes mellitus in pregnancy,exactMatch,,,,Pre-existing malnutrition-related diabetes mellitus in pregnancy,606039,Pre-existing malnutrition-related diabetes mellitus in pregnancy,True,,0.8838451268357811
1423535,Malformation of placenta,verbatim,4143187,Anomaly of placenta,exactMatch,,,,Malformation of placenta,4143187,Anomaly of placenta,True,,0.8838451268357811
1424031,Toxic reaction to local anaesthesia during the puerperium,verbatim,4061350,Toxic reaction to local anesthesia during the puerperium,exactMatch,,,,Toxic reaction to local anaesthesia during the puerperium,4061350,Toxic reaction to local anesthesia during the puerperium,True,,0.8838451268357811
1426609,Congenital dislocation of the elbow (machine translation),verbatim,4161208,Congenital dislocation of elbow,exactMatch,,,,Congenital dislocation of elbow,4161208,Congenital dislocation of elbow,True,,0.8838451268357811
1427062,"Other congenital malformations, not elsewhere classified",verbatim,4079975,Congenital malformation,exactMatch,,,,Congenital malformations,4079975,Congenital malformation,True,,0.8838451268357811
1427845,Abnormal plasma viscosity,verbatim,4168839,Plasma viscosity outside reference range,exactMatch,,,,Abnormal plasma viscosity,4168839,Plasma viscosity outside reference range,True,,0.8838451268357811
1429181,Injury of other pelvic organs,verbatim,201436,Injury of pelvic organ,exactMatch,,,,Injury of pelvic organs,201436,Injury of pelvic organ,True,,0.8838451268357811
1529217,"Chronic viral hepatitis B without delta-agent, other and unspecified phase",verbatim,439674,Chronic viral hepatitis B without delta-agent,exactMatch,,,,Chronic viral hepatitis B without delta-agent,439674,Chronic viral hepatitis B without delta-agent,True,,0.8838451268357811
1567318,Trichomoniasis,verbatim,434872,Infection by Trichomonas,exactMatch,,,,Trichomoniasis,434872,Infection by Trichomonas,True,,0.8838451268357811
1568090,"Unspecified dementia, unspecified severity",verbatim,4182210,Dementia,exactMatch,,,,Dementia,4182210,Dementia,True,,0.8838451268357811
1568207,Other schizophrenia,verbatim,435783,Schizophrenia,exactMatch,,,,Schizophrenia,435783,Schizophrenia,True,,0.8838451268357811
1568357,"Drug-induced headache, not elsewhere classified",verbatim,46270383,Headache caused by drug,exactMatch,,,,Drug-induced headache,46270383,Headache caused by drug,True,,0.8838451268357811
1569473,Other allergic rhinitis,verbatim,257007,Allergic rhinitis,exactMatch,,,,Allergic rhinitis,257007,Allergic rhinitis,True,,0.8838451268357811
1569701,Other intestinal malabsorption,verbatim,194993,Intestinal malabsorption,exactMatch,,,,Intestinal malabsorption,194993,Intestinal malabsorption,True,,0.8838451268357811
1571843,"Antepartum hemorrhage, unspecified",verbatim,434089,Antepartum hemorrhage,exactMatch,,,,Antepartum hemorrhage,434089,Antepartum hemorrhage,True,,0.8838451268357811
1571905,Tuberculosis complicating pregnancy,verbatim,4145952,Tuberculosis in pregnancy,exactMatch,,,,Tuberculosis,434557,Tuberculosis,False,,0.8838451268357811
1572120,Congenital deformities of hip,verbatim,77373,Congenital deformity of hip joint,exactMatch,,,,Congenital deformities of hip,77373,Congenital deformity of hip joint,True,,0.8838451268357811
1572186,Abnormalities of heart beat,verbatim,4262562,Abnormal heart beat,exactMatch,44784217.0,Cardiac arrhythmia,exactMatch,Abnormal heart beat,4262562,Abnormal heart beat,True,,0.8838451268357811
1572254,Fever of other and unknown origin,verbatim,437663,Fever,exactMatch,4328373.0,Pyrexia of unknown origin,exactMatch,Fever,437663,Fever,True,,0.8838451268357811
1572283,Proteinuria,verbatim,75650,Proteinuria,exactMatch,,,,Proteinuria,75650,Proteinuria,True,,0.8838451268357811
1572685,Unspecified injury of bronchus,verbatim,4133990,Injury of bronchus,exactMatch,,,,Injury of bronchus,4133990,Injury of bronchus,True,,0.8838451268357811
1572934,Unspecified fracture of upper end of humerus,verbatim,4133610,Fracture of upper end of humerus,exactMatch,,,,Fracture of upper end of humerus,4133610,Fracture of upper end of humerus,True,,0.8838451268357811
1574091,Fracture of unspecified tarsal bone(s),verbatim,4134336,Fracture of tarsal bone,exactMatch,,,,Fracture of tarsal bones,4134336,Fracture of tarsal bone,True,,0.8838451268357811
1574259,Foreign body in other parts of respiratory tract,verbatim,4094822,Foreign body in respiratory tract,exactMatch,,,,Foreign body in respiratory tract,4094822,Foreign body in respiratory tract,True,,0.8838451268357811
1574368,Burn of unspecified degree of wrist and hand,verbatim,3657564,Burn of wrist and hand,exactMatch,,,,Burn of wrist and hand,3657564,Burn of wrist and hand,True,,0.8838451268357811
35104255,Polycythaemia vera,verbatim,135214,Polycythemia vera (clinical),exactMatch,,,,Polycythaemia vera,4030270,Polycythemia vera,False,,0.8838451268357811
35205597,Gonococcal pharyngitis,verbatim,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,True,,0.8838451268357811
35205691,Lymphocytic choriomeningitis,verbatim,434860,Meningitis caused by lymphocytic choriomeningitis virus,exactMatch,,,,Lymphocytic choriomeningitis,434860,Meningitis caused by lymphocytic choriomeningitis virus,True,,0.8838451268357811
35205698,Dengue fever [classical dengue],verbatim,440022,Dengue,exactMatch,,,,Dengue fever,440022,Dengue,True,,0.8838451268357811
35206716,"Anemia due to enzyme disorder, unspecified",verbatim,444238,Anemia due to enzyme deficiency,exactMatch,601114.0,Anemia due to enzymopathy,exactMatch,Anemia due to enzyme disorder,601114,Anemia due to enzymopathy,True,,0.8838451268357811
35206744,Drug-induced aplastic anemia,verbatim,4146088,Aplastic anemia due to drugs,exactMatch,,,,Drug-induced aplastic anemia,4146088,Aplastic anemia due to drugs,True,,0.8838451268357811
35207645,Rheumatic mitral stenosis with insufficiency,verbatim,4301373,Rheumatic mitral stenosis with regurgitation,exactMatch,,,,Rheumatic mitral stenosis with insufficiency,4301373,Rheumatic mitral stenosis with regurgitation,True,,0.8838451268357811
35207682,Other forms of angina pectoris,verbatim,321318,Angina pectoris,exactMatch,,,,angina pectoris,38001139,Angina pectoris,False,,0.8838451268357811
35207700,Other forms of acute ischemic heart disease,verbatim,319844,Acute ischemic heart disease,exactMatch,,,,acute ischemic heart disease,319844,Acute ischemic heart disease,True,,0.8838451268357811
35208494,"Anogenital pruritus, unspecified",verbatim,36685964,Pruritis of skin of anogenital region,exactMatch,,,,Anogenital pruritus,36685964,Pruritis of skin of anogenital region,True,,0.8838451268357811
35209278,"Chronic kidney disease, stage 5",verbatim,443611,Chronic kidney disease stage 5,exactMatch,,,,"Chronic kidney disease, stage 5",443611,Chronic kidney disease stage 5,True,,0.8838451268357811
35209296,"Small kidney, unspecified",verbatim,195861,Small kidney,exactMatch,,,,Small kidney,195861,Small kidney,True,,0.8838451268357811
35210484,Respiratory distress syndrome of newborn,verbatim,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Respiratory distress syndrome of newborn,258866,Respiratory distress syndrome in the newborn,True,,0.8838451268357811
35210962,Other congenital malformations of liver,verbatim,444421,Congenital anomaly of liver,exactMatch,,,,Congenital malformation of liver,444421,Congenital anomaly of liver,True,,0.8838451268357811
35211161,Ectodermal dysplasia (anhidrotic),verbatim,134757,Ectodermal dysplasia,broadMatch,,,,Anhidrotic ectodermal dysplasia,4299512,Autosomal dominant hypohidrotic ectodermal dysplasia syndrome,False,,0.8838451268357811
35225305,Family history of malignant neoplasm of digestive organs,verbatim,4334494,Family history of malignant neoplasm of digestive organ,exactMatch,,,,Family history of malignant neoplasm of digestive organs,4334494,Family history of malignant neoplasm of digestive organ,True,,0.8838451268357811
35305794,Galactosaemia,verbatim,439788,Galactosemia,exactMatch,,,,Galactosaemia,439788,Galactosemia,True,,0.8838451268357811
35305997,Congenital joint malformation,verbatim,4316226,Congenital anomaly of joint,exactMatch,,,,Congenital joint malformation,4316226,Congenital anomaly of joint,True,,0.8838451268357811
35506549,Myopathy endocrine,verbatim,442342,Endocrine myopathy,exactMatch,,,,Endocrine myopathy,442342,Endocrine myopathy,True,,0.8838451268357811
35607013,Optic ischaemic neuropathy,verbatim,373487,Ischemic optic neuropathy,exactMatch,,,,Ischemic optic neuropathy,373487,Ischemic optic neuropathy,True,,0.8838451268357811
35607283,Miller Fisher syndrome,verbatim,4070552,Fisher's syndrome,exactMatch,,,,Miller Fisher syndrome,4070552,Fisher's syndrome,True,,0.8838451268357811
35634774,Squint,verbatim,4329707,Strabismus,exactMatch,,,,Squint,4329707,Strabismus,True,,0.8838451268357811
35707597,Gastric cyst,verbatim,37109182,Cyst of stomach,exactMatch,,,,Gastric cyst,37109182,Cyst of stomach,True,,0.8838451268357811
35708587,Foot and mouth disease,verbatim,4141481,Hand foot and mouth disease,exactMatch,,,,Foot and mouth disease,42574126,Foot and mouth disease,False,,0.8838451268357811
35739339,Colonic perforation,verbatim,4177183,Perforation of colon,exactMatch,,,,Colonic perforation,4177183,Perforation of colon,True,,0.8838451268357811
36045304,Systemic anaphylaxis,verbatim,441202,Anaphylaxis,exactMatch,,,,Systemic anaphylaxis,441202,Anaphylaxis,True,,0.8838451268357811
36251346,Broken ankle,verbatim,4059173,Fracture of ankle,exactMatch,,,,Ankle fracture,4059173,Fracture of ankle,True,,0.8838451268357811
36672513,Carcinoma uterine cervix in situ,verbatim,194611,Carcinoma in situ of uterine cervix,exactMatch,,,,Carcinoma in situ of uterine cervix,194611,Carcinoma in situ of uterine cervix,True,,0.8838451268357811
36774872,Migraine type headaches,verbatim,318736,Migraine,exactMatch,,,,Migraine,318736,Migraine,True,,0.8838451268357811
36818761,Neonatal respiratory distress syndrome,verbatim,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Neonatal respiratory distress syndrome,258866,Respiratory distress syndrome in the newborn,True,,0.8838451268357811
36919053,Affective disorder,verbatim,444100,Mood disorder,exactMatch,,,,Affective disorder,444100,Mood disorder,True,,0.8838451268357811
36919162,"Schizophrenia, paranoid type",verbatim,433450,Paranoid schizophrenia,exactMatch,,,,Paranoid schizophrenia,433450,Paranoid schizophrenia,True,,0.8838451268357811
37080642,Nephrotic syndrome with lesion of proliferative glomerulonephritis,verbatim,197319,Nephrotic syndrome with proliferative glomerulonephritis,exactMatch,,,,Nephrotic syndrome with proliferative glomerulonephritis,197319,Nephrotic syndrome with proliferative glomerulonephritis,True,,0.8838451268357811
37081344,"Acute nephritic syndrome, Other",verbatim,4189531,Acute nephritis,exactMatch,4298809.0,Nephritic syndrome,broadMatch,Acute nephritic syndrome,4189531,Acute nephritis,True,,0.8838451268357811
37081600,Neoplasm of uncertain or unknown behaviour: Ovary,verbatim,200675,Neoplasm of uncertain behavior of ovary,exactMatch,,,,Neoplasm of ovary,4047650,Neoplasm of ovary,False,,0.8838451268357811
37081789,Other specified salmonella infections,verbatim,133685,Salmonella infection,exactMatch,,,,Salmonella infections,133685,Salmonella infection,True,,0.8838451268357811
37082830,Specific (isolated) phobias,verbatim,4182847,Simple phobia,exactMatch,,,,Specific phobia,4182847,Simple phobia,True,,0.8838451268357811
37083265,Parkinson disease,verbatim,381270,Parkinson's disease,exactMatch,,,,Parkinson disease,381270,Parkinson's disease,True,,0.8838451268357811
37083340,Subacute combined degeneration of spinal cord in diseases classified elsewhere,verbatim,140099,Subacute combined degeneration of spinal cord,exactMatch,,,,Subacute combined degeneration of spinal cord,140099,Subacute combined degeneration of spinal cord,True,,0.8838451268357811
37084659,Atrial fibrillation: paroxysmal,verbatim,4154290,Paroxysmal atrial fibrillation,exactMatch,,,,Paroxysmal atrial fibrillation,4154290,Paroxysmal atrial fibrillation,True,,0.8838451268357811
37084958,"Lymphoedema, not elsewhere classified",verbatim,435839,Lymphedema,exactMatch,,,,Lymphoedema,435839,Lymphedema,True,,0.8838451268357811
37085667,West Nile virus infection,verbatim,438970,Disease caused by West Nile virus,exactMatch,,,,West Nile virus infection,438970,Disease caused by West Nile virus,True,,0.8838451268357811
37086807,"Chronic viral hepatitis, unspecified",verbatim,4012113,Chronic viral hepatitis,exactMatch,,,,Chronic viral hepatitis,4012113,Chronic viral hepatitis,True,,0.8838451268357811
37087206,"Juvenile ankylosing spondylitis, other",verbatim,4083681,Juvenile ankylosing spondylitis,exactMatch,,,,Juvenile ankylosing spondylitis,4083681,Juvenile ankylosing spondylitis,True,,0.8838451268357811
37087754,Hallux valgus (acquired),verbatim,75911,Acquired hallux valgus,exactMatch,,,,Acquired hallux valgus,75911,Acquired hallux valgus,True,,0.8838451268357811
37089004,"Myositis, unspecified",verbatim,73001,Myositis,exactMatch,,,,Myositis,73001,Myositis,True,,0.8838451268357811
37089352,Spontaneous rupture of unspecified tendon,verbatim,439907,Non-traumatic tendon rupture,exactMatch,,,,Spontaneous tendon rupture,439907,Non-traumatic tendon rupture,True,,0.8838451268357811
37090172,Disorders of continuity of bone,verbatim,4344386,Disorder of continuity of bone,exactMatch,,,,disorders of continuity of bone,4344386,Disorder of continuity of bone,True,,0.8838451268357811
37090672,Other specified disorders of bone,verbatim,75909,Disorder of bone,exactMatch,,,,disorders of bone,75909,Disorder of bone,True,,0.8838451268357811
37091304,"Disorder of prostate, unspecified",verbatim,196734,Disorder of prostate,exactMatch,,,,disorder of prostate,196734,Disorder of prostate,True,,0.8838451268357811
37091346,Disorders of prostate in diseases classified elsewhere,verbatim,196734,Disorder of prostate,exactMatch,,,,disorders of prostate,196734,Disorder of prostate,True,,0.8838451268357811
37091889,Other premature separation of placenta,verbatim,198488,Placental abruption,exactMatch,,,,premature separation of placenta,198488,Placental abruption,True,,0.8838451268357811
37092153,Malignant neoplasm: Overlapping lesion of floor of mouth,verbatim,140955,Overlapping malignant neoplasm of floor of mouth,exactMatch,,,,"Malignant neoplasm, overlapping lesion of floor of mouth",140955,Overlapping malignant neoplasm of floor of mouth,True,,0.8838451268357811
37092544,Other neonatal aspiration syndromes,verbatim,434154,Neonatal aspiration syndrome,exactMatch,,,,neonatal aspiration syndromes,434154,Neonatal aspiration syndrome,True,,0.8838451268357811
37093223,"Congenital malformations of lips, not elsewhere classified",verbatim,4033966,Congenital anomaly of lip,exactMatch,,,,congenital malformations of lips,4033966,Congenital anomaly of lip,True,,0.8838451268357811
37093308,Unicornate uterus,verbatim,4028991,Uterus unicornis,exactMatch,,,,Unicornate uterus,4028991,Uterus unicornis,True,,0.8838451268357811
37095656,Sarcoma of dendritic cells (accessory cells),verbatim,607994,Dendritic cell sarcoma,exactMatch,,,,Sarcoma of dendritic cells,607994,Dendritic cell sarcoma,True,,0.8838451268357811
37119729,Haematocoele female,verbatim,200150,Female hematocele,exactMatch,,,,Haematocoele,4282300,Male hematocele,False,,0.8838451268357811
37201112,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission",verbatim,380834,Coma,broadMatch,380834.0,Coma,exactMatch,Coma,380834,Coma,True,,0.8838451268357811
37219908,Cough decreased,verbatim,4199298,Decreased coughing,exactMatch,,,,Cough,254761,Cough,False,,0.8838451268357811
37223508,"Other specific joint derangements, not elsewhere classified, other",verbatim,78228,Joint derangement,exactMatch,,,,Joint derangements,78228,Joint derangement,True,,0.8838451268357811
37224058,"Enterobacterial spondylitis, site unspecified",verbatim,4068478,Enterobacterial spondylitis,exactMatch,,,,Enterobacterial spondylitis,4068478,Enterobacterial spondylitis,True,,0.8838451268357811
37224088,"Collapsed vertebra in diseases classified elsewhere, site unspecified",verbatim,4222001,Collapse of vertebra,exactMatch,,,,Collapsed vertebra,4222001,Collapse of vertebra,True,,0.8838451268357811
37224682,"Necrotizing fasciitis, other",verbatim,133566,Necrotizing fasciitis,exactMatch,,,,Necrotizing fasciitis,133566,Necrotizing fasciitis,True,,0.8838451268357811
37383969,Exanthem,verbatim,140214,Eruption,broadMatch,,,,Exanthem,140214,Eruption,False,,0.8838451268357811
37605737,Ventricular premature depolarization,verbatim,4089462,Ventricular premature complex,exactMatch,,,,Ventricular premature depolarization,4089462,Ventricular premature complex,True,,0.8838451268357811
37606919,Other osteomyelitis,verbatim,141663,Osteomyelitis,exactMatch,,,,Osteomyelitis,141663,Osteomyelitis,True,,0.8838451268357811
37607165,Other schizophrenia,verbatim,435783,Schizophrenia,exactMatch,,,,Schizophrenia,435783,Schizophrenia,True,,0.8838451268357811
37607634,"Naevus, non-neoplastic",verbatim,135287,Non-neoplastic nevus,exactMatch,,,,non-neoplastic naevus,135287,Non-neoplastic nevus,True,,0.8838451268357811
37608196,Disorders of zinc metabolism,verbatim,4263312,Disorder of zinc metabolism,exactMatch,,,,Disorders of zinc metabolism,4263312,Disorder of zinc metabolism,True,,0.8838451268357811
37608458,Other retinal detachments,verbatim,378414,Retinal detachment,exactMatch,,,,retinal detachment,378414,Retinal detachment,True,,0.8838451268357811
37609134,Other specified diseases of upper respiratory tract,verbatim,254068,Disorder of upper respiratory system,exactMatch,,,,diseases of upper respiratory tract,254068,Disorder of upper respiratory system,True,,0.8838451268357811
37609365,Lack of physical exercise,verbatim,4165091,Lack of exercise,exactMatch,,,,Lack of physical exercise,4165091,Lack of exercise,True,,0.8838451268357811
37609391,Other mononeuropathies of lower limb,verbatim,43531028,Mononeuropathy of lower limb,exactMatch,,,,mononeuropathies of lower limb,43531028,Mononeuropathy of lower limb,True,,0.8838451268357811
37610161,Toxic epidermal necrolysis [Lyell],verbatim,35625873,Lyell syndrome,exactMatch,,,,Toxic epidermal necrolysis,35625873,Lyell syndrome,True,,0.8838451268357811
37610986,"Tricuspid valve disease, unspecified",verbatim,316993,Tricuspid valve disorder,exactMatch,,,,Tricuspid valve disease,316993,Tricuspid valve disorder,True,,0.8838451268357811
37611086,Acute posthaemorrhagic anaemia,verbatim,434894,Acute posthemorrhagic anemia,exactMatch,,,,Acute posthaemorrhagic anaemia,434894,Acute posthemorrhagic anemia,True,,0.8838451268357811
37612241,Other gender identity disorders,verbatim,4338512,Gender identity disorder,exactMatch,,,,gender identity disorders,4338512,Gender identity disorder,True,,0.8838451268357811
37612559,Gonococcal pharyngitis,verbatim,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,True,,0.8838451268357811
37613473,Eclampsia in labour,verbatim,4034096,Eclampsia in labor,exactMatch,,,,Eclampsia in labour,4034096,Eclampsia in labor,True,,0.8838451268357811
37613552,Irritant contact dermatitis due to other agents,verbatim,4004352,Irritant contact dermatitis,exactMatch,,,,Irritant contact dermatitis,4004352,Irritant contact dermatitis,True,,0.8838451268357811
37615331,"Mixed conductive and sensorineural hearing loss, unspecified",verbatim,379832,Mixed conductive AND sensorineural hearing loss,exactMatch,,,,Mixed conductive and sensorineural hearing loss,379832,Mixed conductive AND sensorineural hearing loss,True,,0.8838451268357811
37688988,Aortic sclerosis,verbatim,4195690,Aortic valve sclerosis,exactMatch,,,,Aortic sclerosis,4195690,Aortic valve sclerosis,True,,0.8838451268357811
42484116,Other specified viral encephalitis,verbatim,372547,Viral encephalitis,exactMatch,,,,Viral encephalitis,372547,Viral encephalitis,True,,0.8838451268357811
42484592,Other specified infestations,verbatim,432251,Parasitic disease,exactMatch,,,,Infestations,432251,Parasitic disease,True,,0.8838451268357811
42484594,Unspecified parasitic disease,verbatim,432251,Parasitic disease,exactMatch,,,,Parasitic disease,432251,Parasitic disease,True,,0.8838451268357811
42485220,"Non-Hodgkin lymphoma, unspecified",verbatim,4038838,Non-Hodgkin's lymphoma (clinical),exactMatch,,,,Non-Hodgkin lymphoma,4038838,Non-Hodgkin's lymphoma (clinical),True,,0.8838451268357811
42485669,"Neoplasm of uncertain or unknwon behavior of endocrine gland, unspecified",verbatim,4302836,Neoplasm of endocrine gland,exactMatch,,,,Neoplasm of endocrine gland,4302836,Neoplasm of endocrine gland,True,,0.8838451268357811
42485732,Thalassaemia,verbatim,30978,Thalassemia,exactMatch,,,,Thalassaemia,30978,Thalassemia,True,,0.8838451268357811
42485847,Selective deficiency of immunoglobulin M[IgM],verbatim,434893,Selective immunoglobulin M deficiency,exactMatch,,,,Selective immunoglobulin M deficiency,434893,Selective immunoglobulin M deficiency,True,,0.8838451268357811
42486231,"Hyperaldosteronism, unspecified",verbatim,195213,Hyperaldosteronism,exactMatch,,,,Hyperaldosteronism,195213,Hyperaldosteronism,True,,0.8838451268357811
42486310,Other vitamin deficiencies,verbatim,436658,Vitamin deficiency,exactMatch,,,,Vitamin deficiencies,436658,Vitamin deficiency,True,,0.8838451268357811
42486319,Copper deficiency,verbatim,4024266,Hypocupremia,exactMatch,,,,Copper deficiency,4024266,Hypocupremia,True,,0.8838451268357811
42486358,Disorders of tyrosine metabolism,verbatim,4291019,Disorder of tyrosine metabolism,exactMatch,,,,Disorders of tyrosine metabolism,4291019,Disorder of tyrosine metabolism,True,,0.8838451268357811
42486889,Childhood autism,verbatim,434902,Autistic disorder of childhood onset,exactMatch,,,,Childhood autism,434902,Autistic disorder of childhood onset,True,,0.8838451268357811
42486962,"Meningitis, unspecified",verbatim,435785,Meningitis,exactMatch,,,,Meningitis,435785,Meningitis,True,,0.8838451268357811
42487128,"Migraine, unspecified",verbatim,318736,Migraine,exactMatch,,,,Migraine,318736,Migraine,True,,0.8838451268357811
42487208,Nerve root and plexus compressions in spondylosis(M47.-�),verbatim,4105009,Nerve root and plexus compressions in spondylosis,exactMatch,,,,Nerve root and plexus compressions in spondylosis,4105009,Nerve root and plexus compressions in spondylosis,True,,0.8838451268357811
42488570,Subdural haemorrhage (acute)(nontraumatic),verbatim,42535426,Acute nontraumatic subdural hemorrhage,exactMatch,,,,Acute nontraumatic subdural haemorrhage,42535426,Acute nontraumatic subdural hemorrhage,True,,0.8838451268357811
42489037,Other specified chronic obstructive pulmonary disease,verbatim,255573,Chronic obstructive pulmonary disease,exactMatch,,,,Chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,True,,0.8838451268357811
